¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
º(338.26, 7.03, 315.40) (327.15, 1.22, 339.17) (3.77, 2.69, 7.65) Cabin 9.971958
(338.26, 7.03, 315.40) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 16.89731
(338.26, 7.03, 315.40) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 17.18572
(338.26, 7.03, 315.40) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 16.99688
(338.26, 7.03, 315.40) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 15.95004
(338.26, 7.03, 315.40) (341.83, 1.67, 353.20) (1.67, 3.94, 6.44) Tools 21.29397
(338.26, 7.03, 315.40) (341.83, 1.67, 353.20) (1.67, 3.94, 6.44) Tools 21.2542
(338.26, 7.03, 315.40) (341.83, 1.67, 353.20) (1.67, 3.94, 6.44) Tools 21.41788
(338.26, 7.03, 315.40) (341.83, 1.67, 353.20) (1.67, 3.94, 6.44) Tools 21.6683
(338.26, 7.03, 315.40) (341.83, 1.67, 353.20) (1.67, 3.94, 6.44) Tools 21.97832
(338.26, 7.03, 315.40) (341.83, 1.67, 353.20) (1.67, 3.94, 6.44) Tools 22.43028
(338.26, 7.03, 315.40) (341.83, 1.67, 353.20) (1.67, 3.94, 6.44) Tools 22.90485
(338.26, 7.03, 315.40) (341.83, 1.67, 353.20) (1.67, 3.94, 6.44) Tools 23.74346
(338.26, 7.03, 315.40) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 22.78827
(338.26, 7.03, 315.40) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 21.83866
(338.26, 7.03, 315.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.206316
(338.26, 7.03, 315.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.526948
(338.26, 7.03, 315.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.840563
(338.26, 7.03, 315.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.128726
(338.26, 7.03, 315.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.443395
(338.26, 7.03, 315.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.788344
(338.26, 7.03, 315.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.168097
(338.26, 7.03, 315.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.588128
(338.26, 7.03, 315.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.056787
(338.26, 7.03, 315.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.600171
(338.26, 7.03, 315.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.21422
‡(338.26, 7.03, 315.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.91371
(338.26, 7.03, 315.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.70015
(338.26, 7.03, 315.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.58715
(338.26, 7.03, 315.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.62187
(338.26, 7.03, 315.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.86456
(338.26, 7.03, 315.40) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 15.40425
(338.26, 7.03, 315.40) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 15.77089
(338.26, 7.03, 315.40) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 15.75689
(338.26, 7.03, 315.40) (340.01, 0.81, 349.68) (1.86, 1.16, 6.62) Tools 15.12312
(338.26, 7.03, 315.40) (341.83, 1.67, 353.20) (1.67, 3.94, 6.44) Tools 20.55385
(338.26, 7.03, 315.40) (341.83, 1.67, 353.20) (1.67, 3.94, 6.44) Tools 20.60941
(338.26, 7.03, 315.40) (341.83, 1.67, 353.20) (1.67, 3.94, 6.44) Tools 20.83474
(338.26, 7.03, 315.40) (341.83, 1.67, 353.20) (1.67, 3.94, 6.44) Tools 21.06823
(338.26, 7.03, 315.40) (341.83, 1.67, 353.20) (1.67, 3.94, 6.44) Tools 21.45311
(338.26, 7.03, 315.40) (341.83, 1.67, 353.20) (1.67, 3.94, 6.44) Tools 21.88021
(338.26, 7.03, 315.40) (341.83, 1.67, 353.20) (1.67, 3.94, 6.44) Tools 22.47917
(338.26, 7.03, 315.40) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 24.01342
(338.26, 7.03, 315.40) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 24.08377
(338.26, 7.03, 315.40) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 22.86201
(338.26, 7.03, 315.40) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 21.90635
(338.26, 7.03, 315.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.198312
(338.26, 7.03, 315.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.518058
(338.26, 7.03, 315.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.841794
(338.26, 7.03, 315.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.130069
(338.26, 7.03, 315.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.444866
(338.26, 7.03, 315.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.78996
(338.26, 7.03, 315.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.169881
(338.26, 7.03, 315.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.590107
(338.26, 7.03, 315.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.057341
(338.26, 7.03, 315.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.600796
(338.26, 7.03, 315.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.21493
(338.26, 7.03, 315.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.91453
(338.26, 7.03, 315.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.70384
(338.26, 7.03, 315.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.59143
(338.26, 7.03, 315.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.62689
(338.26, 7.03, 315.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.87097
(338.26, 7.03, 315.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.4393
(338.26, 7.03, 315.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.42464
(338.26, 7.03, 315.40) (341.83, 1.67, 353.20) (1.67, 3.94, 6.44) Tools 19.91621
(338.26, 7.03, 315.40) (341.83, 1.67, 353.20) (1.67, 3.94, 6.44) Tools 19.87517
(338.26, 7.03, 315.40) (341.83, 1.67, 353.20) (1.67, 3.94, 6.44) Tools 20.07835
(338.26, 7.03, 315.40) (341.83, 1.67, 353.20) (1.67, 3.94, 6.44) Tools 20.28879
(338.26, 7.03, 315.40) (341.83, 1.67, 353.20) (1.67, 3.94, 6.44) Tools 20.57219
(338.26, 7.03, 315.40) (341.83, 1.67, 353.20) (1.67, 3.94, 6.44) Tools 20.95836
(338.26, 7.03, 315.40) (341.83, 1.67, 353.20) (1.67, 3.94, 6.44) Tools 21.36256
(338.26, 7.03, 315.40) (341.83, 1.67, 353.20) (1.67, 3.94, 6.44) Tools 22.07494
(338.26, 7.03, 315.40) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 23.39352
(338.26, 7.03, 315.40) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 23.27095
(338.26, 7.03, 315.40) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 23.29751
(338.26, 7.03, 315.40) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 22.93959
(338.26, 7.03, 315.40) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 21.97757
Ì(338.26, 7.03, 315.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.189954
(338.26, 7.03, 315.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.508779
(338.26, 7.03, 315.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.842924
(338.26, 7.03, 315.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.131301
(338.26, 7.03, 315.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.446214
(338.26, 7.03, 315.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.791441
(338.26, 7.03, 315.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.171515
(338.26, 7.03, 315.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.591921
(338.26, 7.03, 315.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.059352
(338.26, 7.03, 315.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.60115
(338.26, 7.03, 315.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.21534
(338.26, 7.03, 315.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.91499
(338.26, 7.03, 315.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.70722
(338.26, 7.03, 315.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.59535
(338.26, 7.03, 315.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.6315
(338.26, 7.03, 315.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.87682
(338.26, 7.03, 315.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.44639
(338.26, 7.03, 315.40) (341.83, 1.67, 353.20) (1.67, 3.94, 6.44) Tools 19.28579
(338.26, 7.03, 315.40) (341.83, 1.67, 353.20) (1.67, 3.94, 6.44) Tools 19.39012
(338.26, 7.03, 315.40) (341.83, 1.67, 353.20) (1.67, 3.94, 6.44) Tools 19.58014
(338.26, 7.03, 315.40) (341.83, 1.67, 353.20) (1.67, 3.94, 6.44) Tools 19.77691
(338.26, 7.03, 315.40) (341.83, 1.67, 353.20) (1.67, 3.94, 6.44) Tools 20.12541
(338.26, 7.03, 315.40) (341.83, 1.67, 353.20) (1.67, 3.94, 6.44) Tools 20.49171
(338.26, 7.03, 315.40) (341.83, 1.67, 353.20) (1.67, 3.94, 6.44) Tools 20.99997
(338.26, 7.03, 315.40) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 23.25091
(338.26, 7.03, 315.40) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 23.13671
(338.26, 7.03, 315.40) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 22.05235
(338.26, 7.03, 315.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.181247
(338.26, 7.03, 315.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.499108
(338.26, 7.03, 315.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.843949
(338.26, 7.03, 315.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.13242
(338.26, 7.03, 315.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.447437
(338.26, 7.03, 315.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.792788
(338.26, 7.03, 315.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.173002
(338.26, 7.03, 315.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.593568
(338.26, 7.03, 315.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.061191
(338.26, 7.03, 315.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.601234
(338.26, 7.03, 315.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.21544
(338.26, 7.03, 315.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.91511
(338.26, 7.03, 315.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.7103
(338.26, 7.03, 315.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.59892
(338.26, 7.03, 315.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.57287
(338.26, 7.03, 315.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.88217
(338.26, 7.03, 315.40) (342.11, 0.49, 344.89) (2.32, 1.16, 6.64) Tools 16.754
(338.26, 7.03, 315.40) (342.11, 0.49, 344.89) (2.32, 1.16, 6.64) Tools 16.73147
(338.26, 7.03, 315.40) (342.11, 0.49, 344.89) (2.32, 1.16, 6.64) Tools 16.92756
(338.26, 7.03, 315.40) (341.83, 1.67, 353.20) (1.67, 3.94, 6.44) Tools 19.36996
(338.26, 7.03, 315.40) (341.83, 1.67, 353.20) (1.67, 3.94, 6.44) Tools 19.70314
(338.26, 7.03, 315.40) (341.83, 1.67, 353.20) (1.67, 3.94, 6.44) Tools 20.05102
(338.26, 7.03, 315.40) (341.83, 1.67, 353.20) (1.67, 3.94, 6.44) Tools 20.65961
(338.26, 7.03, 315.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.172194
§(338.26, 7.03, 315.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.489058
(338.26, 7.03, 315.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.841293
(338.26, 7.03, 315.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.133429
(338.26, 7.03, 315.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.448541
(338.26, 7.03, 315.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.794
(338.26, 7.03, 315.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.17434
(338.26, 7.03, 315.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.595053
(338.26, 7.03, 315.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.062847
(338.26, 7.03, 315.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.601054
(338.26, 7.03, 315.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.21524
(338.26, 7.03, 315.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.91488
(338.26, 7.03, 315.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.71307
(338.26, 7.03, 315.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.60214
(338.26, 7.03, 315.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.57688
(338.26, 7.03, 315.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.88699
(338.26, 7.03, 315.40) (342.11, 0.49, 344.89) (2.32, 1.16, 6.64) Tools 16.36434
(338.26, 7.03, 315.40) (342.11, 0.49, 344.89) (2.32, 1.16, 6.64) Tools 16.34215
(338.26, 7.03, 315.40) (342.11, 0.49, 344.89) (2.32, 1.16, 6.64) Tools 16.58711
(338.26, 7.03, 315.40) (342.11, 0.49, 344.89) (2.32, 1.16, 6.64) Tools 17.03753
(338.26, 7.03, 315.40) (341.83, 1.67, 353.20) (1.67, 3.94, 6.44) Tools 19.73454
(338.26, 7.03, 315.40) (341.83, 1.67, 353.20) (1.67, 3.94, 6.44) Tools 20.33486
(338.26, 7.03, 315.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.162802
(338.26, 7.03, 315.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.478632
(338.26, 7.03, 315.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.829656
(338.26, 7.03, 315.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.134324
(338.26, 7.03, 315.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.449522
(338.26, 7.03, 315.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.795077
(338.26, 7.03, 315.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.175529
(338.26, 7.03, 315.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.596373
(338.26, 7.03, 315.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.064319
(338.26, 7.03, 315.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.600601
(338.26, 7.03, 315.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.21474
(338.26, 7.03, 315.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.91431
(338.26, 7.03, 315.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.71554
(338.26, 7.03, 315.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.605
(338.26, 7.03, 315.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.58047
(338.26, 7.03, 315.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.89125
(338.26, 7.03, 315.40) (342.11, 0.49, 344.89) (2.32, 1.16, 6.64) Tools 15.99471
(338.26, 7.03, 315.40) (342.11, 0.49, 344.89) (2.32, 1.16, 6.64) Tools 16.01919
(338.26, 7.03, 315.40) (342.11, 0.49, 344.89) (2.32, 1.16, 6.64) Tools 16.26204
(338.26, 7.03, 315.40) (342.11, 0.49, 344.89) (2.32, 1.16, 6.64) Tools 16.79291
(338.26, 7.03, 315.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.153074
(338.26, 7.03, 315.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.467836
(338.26, 7.03, 315.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.817609
(338.26, 7.03, 315.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.135107
(338.26, 7.03, 315.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.450379
(338.26, 7.03, 315.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.79602
(338.26, 7.03, 315.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.17657
(338.26, 7.03, 315.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.597528
(338.26, 7.03, 315.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.065605
(338.26, 7.03, 315.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.599884
Î(338.26, 7.03, 315.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.21393
(338.26, 7.03, 315.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.91338
(338.26, 7.03, 315.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.71755
(338.26, 7.03, 315.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.474
(338.26, 7.03, 315.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.58361
(338.26, 7.03, 315.40) (342.11, 0.49, 344.89) (2.32, 1.16, 6.64) Tools 15.66761
(338.26, 7.03, 315.40) (342.11, 0.49, 344.89) (2.32, 1.16, 6.64) Tools 15.64369
(338.26, 7.03, 315.40) (342.11, 0.49, 344.89) (2.32, 1.16, 6.64) Tools 15.71816
(338.26, 7.03, 315.40) (342.11, 0.49, 344.89) (2.32, 1.16, 6.64) Tools 15.95139
(338.26, 7.03, 315.40) (342.11, 0.49, 344.89) (2.32, 1.16, 6.64) Tools 16.55645
(338.26, 7.03, 315.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.143013
(338.26, 7.03, 315.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.456673
(338.26, 7.03, 315.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.805155
(338.26, 7.03, 315.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.135778
(338.26, 7.03, 315.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.451113
(338.26, 7.03, 315.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.796826
(338.26, 7.03, 315.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.177461
(338.26, 7.03, 315.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.598515
(338.26, 7.03, 315.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.066709
(338.26, 7.03, 315.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.598894
(338.26, 7.03, 315.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.21282
(338.26, 7.03, 315.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.91211
(338.26, 7.03, 315.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.71608
(338.26, 7.03, 315.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.47627
(338.26, 7.03, 315.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.5863
(338.26, 7.03, 315.40) (342.11, 0.49, 344.89) (2.32, 1.16, 6.64) Tools 15.33352
(338.26, 7.03, 315.40) (342.11, 0.49, 344.89) (2.32, 1.16, 6.64) Tools 15.30996
(338.26, 7.03, 315.40) (342.11, 0.49, 344.89) (2.32, 1.16, 6.64) Tools 15.43007
(338.26, 7.03, 315.40) (342.11, 0.49, 344.89) (2.32, 1.16, 6.64) Tools 15.65429
(338.26, 7.03, 315.40) (342.11, 0.49, 344.89) (2.32, 1.16, 6.64) Tools 16.32781
(338.26, 7.03, 315.40) (344.16, 0.49, 352.24) (2.49, 1.16, 6.63) Tools 23.17407
(338.26, 7.03, 315.40) (344.16, 0.49, 352.24) (2.49, 1.16, 6.63) Tools 24.40889
(338.26, 7.03, 315.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.132628
(338.26, 7.03, 315.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.445149
(338.26, 7.03, 315.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.792301
(338.26, 7.03, 315.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.136336
(338.26, 7.03, 315.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.451726
(338.26, 7.03, 315.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.797499
(338.26, 7.03, 315.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.178203
(338.26, 7.03, 315.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.599338
(338.26, 7.03, 315.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.067627
(338.26, 7.03, 315.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.597638
(338.26, 7.03, 315.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.2114
(338.26, 7.03, 315.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.91049
(338.26, 7.03, 315.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.71421
(338.26, 7.03, 315.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.4782
(338.26, 7.03, 315.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.58854
(338.26, 7.03, 315.40) (342.11, 0.49, 344.89) (2.32, 1.16, 6.64) Tools 15.01556
(338.26, 7.03, 315.40) (342.11, 0.49, 344.89) (2.32, 1.16, 6.64) Tools 14.99235
(338.26, 7.03, 315.40) (342.11, 0.49, 344.89) (2.32, 1.16, 6.64) Tools 15.15417
(338.26, 7.03, 315.40) (342.11, 0.49, 344.89) (2.32, 1.16, 6.64) Tools 15.36999
Î(338.26, 7.03, 315.40) (344.16, 0.49, 352.24) (2.49, 1.16, 6.63) Tools 20.80819
(338.26, 7.03, 315.40) (344.16, 0.49, 352.24) (2.49, 1.16, 6.63) Tools 21.74198
(338.26, 7.03, 315.40) (344.16, 0.49, 352.24) (2.49, 1.16, 6.63) Tools 23.52377
(338.26, 7.03, 315.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.121921
(338.26, 7.03, 315.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.433273
(338.26, 7.03, 315.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.779056
(338.26, 7.03, 315.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.136782
(338.26, 7.03, 315.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.452214
(338.26, 7.03, 315.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.798034
(338.26, 7.03, 315.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.178794
(338.26, 7.03, 315.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.599995
(338.26, 7.03, 315.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.06836
(338.26, 7.03, 315.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.596111
(338.26, 7.03, 315.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.20969
(338.26, 7.03, 315.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.90853
(338.26, 7.03, 315.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.71194
(338.26, 7.03, 315.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.4797
(338.26, 7.03, 315.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.59033
(338.26, 7.03, 315.40) (342.11, 0.49, 344.89) (2.32, 1.16, 6.64) Tools 14.71266
(338.26, 7.03, 315.40) (342.11, 0.49, 344.89) (2.32, 1.16, 6.64) Tools 14.6898
(338.26, 7.03, 315.40) (342.11, 0.49, 344.89) (2.32, 1.16, 6.64) Tools 14.88975
(338.26, 7.03, 315.40) (342.11, 0.49, 344.89) (2.32, 1.16, 6.64) Tools 15.17527
(338.26, 7.03, 315.40) (344.16, 0.49, 352.24) (2.49, 1.16, 6.63) Tools 19.64937
(338.26, 7.03, 315.40) (344.16, 0.49, 352.24) (2.49, 1.16, 6.63) Tools 20.47836
(338.26, 7.03, 315.40) (344.16, 0.49, 352.24) (2.49, 1.16, 6.63) Tools 22.7287
(338.26, 7.03, 315.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.110897
(338.26, 7.03, 315.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.421048
(338.26, 7.03, 315.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.765427
(338.26, 7.03, 315.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.137115
(338.26, 7.03, 315.40) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.452578
