¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
µ (431.47, 14.17, 332.09) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.192509
(431.57, 14.20, 330.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.156594
(431.57, 14.20, 330.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.529591
(431.57, 14.20, 330.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.906694
(431.57, 14.20, 330.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.320181
(431.57, 14.20, 330.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.775427
(431.57, 14.20, 330.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.27907
(431.57, 14.20, 330.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.83913
(431.57, 14.20, 330.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.46552
(431.57, 14.20, 330.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.17069
(431.57, 14.20, 330.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.97034
(431.57, 14.20, 330.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.89502
(431.57, 14.20, 330.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.96578
(431.57, 14.20, 330.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.17283
(431.57, 14.20, 330.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.77957
(431.57, 14.20, 330.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.78778
(431.57, 14.20, 330.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.59133
(431.57, 14.20, 330.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.51747
(431.57, 14.20, 330.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.657733
(431.57, 14.20, 330.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.806201
(431.57, 14.20, 330.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.968356
(431.57, 14.20, 330.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.150919
(431.57, 14.20, 330.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.347333
(431.57, 14.20, 330.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.588951
º(431.57, 14.20, 330.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.850751
(431.57, 14.20, 330.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.135357
(431.57, 14.20, 330.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.445756
(431.57, 14.20, 330.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.785613
(431.57, 14.20, 330.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.159242
(431.57, 14.20, 330.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.526887
(431.57, 14.20, 330.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.903736
(431.57, 14.20, 330.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.316936
(431.57, 14.20, 330.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.771847
(431.57, 14.20, 330.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.2751
(431.57, 14.20, 330.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.83469
(431.57, 14.20, 330.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.46059
(431.57, 14.20, 330.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.16509
(431.57, 14.20, 330.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.96399
(431.57, 14.20, 330.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.87859
(431.57, 14.20, 330.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.93419
(431.57, 14.20, 330.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.13593
(431.57, 14.20, 330.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.73903
(431.57, 14.20, 330.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.73321
(431.57, 14.20, 330.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.49759
(431.57, 14.20, 330.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.508241
(431.57, 14.20, 330.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.647976
(431.57, 14.20, 330.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.796107
(431.57, 14.20, 330.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.967186
(431.57, 14.20, 330.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.149638
(431.57, 14.20, 330.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.349011
(431.57, 14.20, 330.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.590786
(431.57, 14.20, 330.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.852733
(431.57, 14.20, 330.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.137486
(431.57, 14.20, 330.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.448098
(431.57, 14.20, 330.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.78816
(431.57, 14.20, 330.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.162053
(431.57, 14.20, 330.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.524494
(431.57, 14.20, 330.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.901155
(431.57, 14.20, 330.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.314083
(431.57, 14.20, 330.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.768719
(431.57, 14.20, 330.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.27166
(431.57, 14.20, 330.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.83086
(431.57, 14.20, 330.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.45625
(431.57, 14.20, 330.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.16024
(431.57, 14.20, 330.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.95846
(431.57, 14.20, 330.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.87108
(431.57, 14.20, 330.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.9039
(431.57, 14.20, 330.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.10054
(431.57, 14.20, 330.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.70009
(431.57, 14.20, 330.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.68503
(431.57, 14.20, 330.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.40676
(431.57, 14.20, 330.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.499251
(431.57, 14.20, 330.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.638472
(431.57, 14.20, 330.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.795152
(431.57, 14.20, 330.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.966215
·(431.57, 14.20, 330.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.148603
(431.57, 14.20, 330.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.350773
(431.57, 14.20, 330.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.592678
(431.57, 14.20, 330.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.854795
(431.57, 14.20, 330.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.13971
(431.57, 14.20, 330.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.450552
(431.57, 14.20, 330.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.790878
(431.57, 14.20, 330.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.165028
(431.57, 14.20, 330.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.522543
(431.57, 14.20, 330.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.898986
(431.57, 14.20, 330.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.311716
(431.57, 14.20, 330.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.766098
(431.57, 14.20, 330.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.26873
(431.57, 14.20, 330.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.82759
(431.57, 14.20, 330.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.45261
(431.57, 14.20, 330.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.15612
(431.57, 14.20, 330.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.95378
(431.57, 14.20, 330.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.8657
(431.57, 14.20, 330.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.87648
(431.57, 14.20, 330.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.0666
(431.57, 14.20, 330.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.66274
(431.57, 14.20, 330.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.62859
(431.57, 14.20, 330.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.31871
(431.57, 14.20, 330.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.490444
(431.57, 14.20, 330.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.633776
(431.57, 14.20, 330.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.794423
(431.57, 14.20, 330.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.965415
(431.57, 14.20, 330.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.147713
(431.57, 14.20, 330.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.352647
(431.57, 14.20, 330.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.594702
(431.57, 14.20, 330.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.85698
(431.57, 14.20, 330.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.142108
(431.57, 14.20, 330.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.453136
(431.57, 14.20, 330.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.793705
(431.57, 14.20, 330.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.168167
(431.57, 14.20, 330.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.520888
(431.57, 14.20, 330.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.897222
(431.57, 14.20, 330.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.30973
(431.57, 14.20, 330.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.763935
(431.57, 14.20, 330.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.26632
(431.57, 14.20, 330.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.82491
(431.57, 14.20, 330.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.4496
(431.57, 14.20, 330.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.15274
(431.57, 14.20, 330.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.94996
(431.57, 14.20, 330.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.85076
(431.57, 14.20, 330.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.85895
(431.57, 14.20, 330.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.03411
(431.57, 14.20, 330.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.62695
(431.57, 14.20, 330.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.56295
(431.57, 14.20, 330.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.23344
(431.57, 14.20, 330.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.482028
¸(431.57, 14.20, 330.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.633195
(431.57, 14.20, 330.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.793818
(431.57, 14.20, 330.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.964749
(431.57, 14.20, 330.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.147055
(431.57, 14.20, 330.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.354605
(431.57, 14.20, 330.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.596819
(431.57, 14.20, 330.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.859262
(431.57, 14.20, 330.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.144603
(431.57, 14.20, 330.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.455884
(431.57, 14.20, 330.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.796725
(431.57, 14.20, 330.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.16794
(431.57, 14.20, 330.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.51866
(431.57, 14.20, 330.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.895764
(431.57, 14.20, 330.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.308202
(431.57, 14.20, 330.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.762242
(431.57, 14.20, 330.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.26444
(431.57, 14.20, 330.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.82281
(431.57, 14.20, 330.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.44723
(431.57, 14.20, 330.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.15007
(431.57, 14.20, 330.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.9469
(431.57, 14.20, 330.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.83656
(431.57, 14.20, 330.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.84261
(431.57, 14.20, 330.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.00899
(431.57, 14.20, 330.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.59273
(431.57, 14.20, 330.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.49952
(431.57, 14.20, 330.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.15089
(431.57, 14.20, 330.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.481667
(431.57, 14.20, 330.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.632773
(431.57, 14.20, 330.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.793369
(431.57, 14.20, 330.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.964308
(431.57, 14.20, 330.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.146547
(431.57, 14.20, 330.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.356663
(431.57, 14.20, 330.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.599059
(431.57, 14.20, 330.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.861706
(431.57, 14.20, 330.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.147239
(431.57, 14.20, 330.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.45877
(431.57, 14.20, 330.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.799884
(431.57, 14.20, 330.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.166942
(431.57, 14.20, 330.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.514359
(431.57, 14.20, 330.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.893519
(431.57, 14.20, 330.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.307067
(431.57, 14.20, 330.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.760976
(431.57, 14.20, 330.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.26305
(431.57, 14.20, 330.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.82129
(431.57, 14.20, 330.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.44555
(431.57, 14.20, 330.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.14816
(431.57, 14.20, 330.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.94473
(431.57, 14.20, 330.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.82342
(431.57, 14.20, 330.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.82748
(431.57, 14.20, 330.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.9914
(431.57, 14.20, 330.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.56005
±(431.57, 14.20, 330.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 18.3733
(431.57, 14.20, 330.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 20.55247
(431.57, 14.20, 330.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 23.89118
(431.69, 14.27, 329.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.830714
(431.69, 14.27, 329.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.175311
(431.69, 14.27, 329.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.543449
(431.69, 14.27, 329.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.947664
(431.69, 14.27, 329.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.393545
(431.69, 14.27, 329.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.887728
(431.69, 14.27, 329.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.39119
(431.69, 14.27, 329.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.90759
(431.69, 14.27, 329.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.47981
(431.69, 14.27, 329.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.15518
(431.69, 14.27, 329.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.95031
(431.69, 14.27, 329.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.55294
(431.69, 14.27, 329.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.25067
(431.69, 14.27, 329.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.25328
(431.69, 14.27, 329.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.839655
(431.69, 14.27, 329.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.181893
(431.69, 14.27, 329.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.550676
(431.69, 14.27, 329.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.955622
(431.69, 14.27, 329.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.402355
(431.69, 14.27, 329.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.897511
(431.69, 14.27, 329.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.40258
(431.69, 14.27, 329.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.92017
(431.69, 14.27, 329.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.4993
(431.69, 14.27, 329.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.17778
(431.69, 14.27, 329.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.97601
(431.69, 14.27, 329.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.50644
(431.69, 14.27, 329.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.08662
(431.69, 14.27, 329.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.97932
(431.69, 14.27, 329.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.848386
(431.69, 14.27, 329.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.188275
(431.69, 14.27, 329.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.557647
(431.69, 14.27, 329.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.963324
(431.69, 14.27, 329.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.410823
(431.69, 14.27, 329.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.906941
(431.69, 14.27, 329.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.41387
(431.69, 14.27, 329.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.93264
(431.69, 14.27, 329.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.51894
(431.69, 14.27, 329.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.20004
(431.69, 14.27, 329.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.99469
(431.69, 14.27, 329.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.46093
(431.69, 14.27, 329.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.96409
(431.69, 14.27, 329.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.36224
(431.69, 14.27, 329.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.856147
(431.69, 14.27, 329.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.194349
(431.69, 14.27, 329.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.564356
(431.69, 14.27, 329.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.97068
(431.69, 14.27, 329.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.419011
(431.69, 14.27, 329.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.916022
º(431.69, 14.27, 329.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.42499
(431.69, 14.27, 329.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.94496
(431.69, 14.27, 329.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.53838
(431.69, 14.27, 329.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.22199
(431.69, 14.27, 329.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.95332
(431.69, 14.27, 329.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.41645
(431.69, 14.27, 329.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.91607
(431.69, 14.27, 329.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.55766
(431.69, 14.27, 329.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.861527
(431.69, 14.27, 329.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.200218
(431.69, 14.27, 329.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.570751
(431.69, 14.27, 329.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.977748
(431.69, 14.27, 329.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.426837
(431.69, 14.27, 329.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.92475
(431.69, 14.27, 329.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.43601
(431.69, 14.27, 329.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.95715
(431.69, 14.27, 329.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.55765
(431.69, 14.27, 329.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.24364
(431.69, 14.27, 329.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.91286
(431.69, 14.27, 329.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.37292
(431.69, 14.27, 329.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.86913
(431.69, 14.27, 329.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.96361
(431.69, 14.27, 329.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.866667
(431.69, 14.27, 329.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.205837
(431.69, 14.27, 329.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.576885
