¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
à(436.69, 14.02, 296.56) (434.52, 8.54, 321.04) (0.81, 2.16, 0.81) Human 7.692207
(436.68, 14.07, 296.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.389232
(436.68, 14.07, 296.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.01035
(436.68, 14.07, 296.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.7528
(436.68, 14.07, 296.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.61092
(436.68, 14.07, 296.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.63405
(436.68, 14.07, 296.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.8498
(436.68, 14.07, 296.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.41825
(436.68, 14.07, 296.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.5276
(436.68, 14.07, 296.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.86924
(436.68, 14.07, 296.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.143793
(436.68, 14.07, 296.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.413629
(436.68, 14.07, 296.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.709625
(436.68, 14.07, 296.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.535946
(436.68, 14.07, 296.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.923593
(436.68, 14.07, 296.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.354991
(436.68, 14.07, 296.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.837945
(436.68, 14.07, 296.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.382063
(436.68, 14.07, 296.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.999651
(436.68, 14.07, 296.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.7402
(436.68, 14.07, 296.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.58857
(436.68, 14.07, 296.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.60864
(436.68, 14.07, 296.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.82869
(436.68, 14.07, 296.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.3843
(436.68, 14.07, 296.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.38549
(436.68, 14.07, 296.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.48039
(436.68, 14.07, 296.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.140601
(436.68, 14.07, 296.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.410133
(436.68, 14.07, 296.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.181533
(436.68, 14.07, 296.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.531246
(436.68, 14.07, 296.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.918409
(436.68, 14.07, 296.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.34919
(436.68, 14.07, 296.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.831401
(436.68, 14.07, 296.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.374676
(436.68, 14.07, 296.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.991225
(436.68, 14.07, 296.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.72475
(436.68, 14.07, 296.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.56585
¯(436.68, 14.07, 296.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.57623
(436.68, 14.07, 296.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.80699
(436.68, 14.07, 296.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.3494
(436.68, 14.07, 296.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.24409
(436.68, 14.07, 296.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.20952
(436.68, 14.07, 296.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.137314
(436.68, 14.07, 296.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.860194
(436.68, 14.07, 296.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.177173
(436.68, 14.07, 296.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.526433
(436.68, 14.07, 296.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.913029
(436.68, 14.07, 296.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.343204
(436.68, 14.07, 296.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.824703
(436.68, 14.07, 296.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.367083
(436.68, 14.07, 296.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.982555
(436.68, 14.07, 296.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.70501
(436.68, 14.07, 296.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.54283
(436.68, 14.07, 296.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.5433
(436.68, 14.07, 296.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.78468
(436.68, 14.07, 296.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.30648
(436.68, 14.07, 296.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.15187
(436.68, 14.07, 296.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.9652
(436.68, 14.07, 296.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.133933
(436.68, 14.07, 296.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.856106
(436.68, 14.07, 296.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.172653
(436.68, 14.07, 296.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.521446
(436.68, 14.07, 296.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.907499
(436.68, 14.07, 296.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.337076
(436.68, 14.07, 296.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.817774
(436.68, 14.07, 296.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.359255
(436.68, 14.07, 296.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.973676
(436.68, 14.07, 296.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.68496
(436.68, 14.07, 296.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.51945
(436.68, 14.07, 296.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.50988
(436.68, 14.07, 296.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.74599
(436.68, 14.07, 296.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.2565
(436.68, 14.07, 296.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.10073
(436.68, 14.07, 296.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.90341
(436.68, 14.07, 296.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.563645
(436.68, 14.07, 296.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.851886
(436.68, 14.07, 296.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.16805
(436.68, 14.07, 296.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.516378
(436.68, 14.07, 296.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.901858
(436.68, 14.07, 296.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.330736
(436.68, 14.07, 296.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.810684
(436.68, 14.07, 296.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.351214
(436.68, 14.07, 296.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.964519
(436.68, 14.07, 296.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.66614
(436.68, 14.07, 296.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.49578
(436.68, 14.07, 296.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.47601
(436.68, 14.07, 296.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.705
(436.68, 14.07, 296.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.2059
¹(436.68, 14.07, 296.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.04901
(436.68, 14.07, 296.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.8349
(436.68, 14.07, 296.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.55971
(436.68, 14.07, 296.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.847585
(436.68, 14.07, 296.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.163323
(436.68, 14.07, 296.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.511138
(436.68, 14.07, 296.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.896027
(436.68, 14.07, 296.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.324263
(436.68, 14.07, 296.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.803421
(436.68, 14.07, 296.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.343014
(436.68, 14.07, 296.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.955146
(436.68, 14.07, 296.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.65533
(436.68, 14.07, 296.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.47181
(436.68, 14.07, 296.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.44176
(436.68, 14.07, 296.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.66348
(436.68, 14.07, 296.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.15471
(436.68, 14.07, 296.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.99673
(436.68, 14.07, 296.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.75983
(436.68, 14.07, 296.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.555676
(436.68, 14.07, 296.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.843163
(436.68, 14.07, 296.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.15847
(436.68, 14.07, 296.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.505747
(436.68, 14.07, 296.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.890093
(436.68, 14.07, 296.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.317625
(436.68, 14.07, 296.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.795915
(436.68, 14.07, 296.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.334555
(436.68, 14.07, 296.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.945541
(436.68, 14.07, 296.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.64428
(436.68, 14.07, 296.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.45105
(436.68, 14.07, 296.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.41312
(436.68, 14.07, 296.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.62147
(436.68, 14.07, 296.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.10291
(436.68, 14.07, 296.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.94392
(436.68, 14.07, 296.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.78424
(436.68, 14.07, 296.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.551539
(436.68, 14.07, 296.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.838641
(436.68, 14.07, 296.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.153487
(436.68, 14.07, 296.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.500241
(436.68, 14.07, 296.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.883962
(436.68, 14.07, 296.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.310793
(436.68, 14.07, 296.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.78828
(436.68, 14.07, 296.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.325925
(436.68, 14.07, 296.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.935684
(436.68, 14.07, 296.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.63295
(436.68, 14.07, 296.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.43792
(436.68, 14.07, 296.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.38417
(436.68, 14.07, 296.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.57901
(436.68, 14.07, 296.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.05056
(436.68, 14.07, 296.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.88351
(436.68, 14.07, 296.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.82827
(436.68, 14.07, 296.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.547312
¹(436.68, 14.07, 296.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.834006
(436.68, 14.07, 296.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.148362
(436.68, 14.07, 296.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.494645
(436.68, 14.07, 296.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.87775
(436.68, 14.07, 296.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.303843
(436.68, 14.07, 296.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.780461
(436.68, 14.07, 296.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.317068
(436.68, 14.07, 296.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.925611
(436.68, 14.07, 296.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.62141
(436.68, 14.07, 296.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.42448
(436.68, 14.07, 296.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.36157
(436.68, 14.07, 296.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.53605
(436.68, 14.07, 296.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.99768
(436.68, 14.07, 296.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.81507
(436.68, 14.07, 296.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.86691
(436.68, 14.07, 296.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.542976
(436.68, 14.07, 296.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.829228
(436.68, 14.07, 296.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.14318
(436.68, 14.07, 296.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.488863
(436.68, 14.07, 296.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.871344
(436.68, 14.07, 296.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.296701
(436.68, 14.07, 296.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.772491
(436.68, 14.07, 296.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.308058
(436.68, 14.07, 296.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.915327
(436.68, 14.07, 296.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.60961
(436.68, 14.07, 296.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.41079
(436.68, 14.07, 296.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.34547
(436.68, 14.07, 296.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.49265
(436.68, 14.07, 296.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.94434
(436.68, 14.07, 296.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.61117
(436.68, 14.07, 296.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.90026
(436.68, 14.07, 296.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.538547
(436.68, 14.07, 296.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.824411
(436.68, 14.07, 296.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.137833
(436.68, 14.07, 296.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.482984
(436.68, 14.07, 296.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.864836
(436.68, 14.07, 296.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.289434
(436.68, 14.07, 296.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.764312
(436.68, 14.07, 296.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.298793
(436.68, 14.07, 296.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.904814
(436.68, 14.07, 296.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.59752
(436.68, 14.07, 296.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.39678
(436.68, 14.07, 296.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.32902
(436.68, 14.07, 296.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.4602
(436.68, 14.07, 296.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.89048
(436.68, 14.07, 296.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.41272
(436.68, 14.07, 296.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.92021
(436.68, 14.07, 296.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.53403
(436.68, 14.07, 296.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.819457
(436.68, 14.07, 296.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.132383
(436.68, 14.07, 296.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.476999
¹(436.68, 14.07, 296.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.858152
(436.68, 14.07, 296.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.279543
(436.68, 14.07, 296.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.750977
(436.68, 14.07, 296.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.289391
(436.68, 14.07, 296.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.8941
(436.68, 14.07, 296.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.5852
(436.68, 14.07, 296.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.38249
(436.68, 14.07, 296.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.31225
(436.68, 14.07, 296.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.43308
(436.68, 14.07, 296.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.83617
(436.68, 14.07, 296.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.21951
(436.68, 14.07, 296.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.46931
(436.68, 14.07, 296.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.529408
(436.68, 14.07, 296.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.814387
(436.68, 14.07, 296.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.126856
(436.68, 14.07, 296.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.470846
(436.68, 14.07, 296.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.851369
(436.68, 14.07, 296.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.268614
(436.68, 14.07, 296.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.735863
(436.68, 14.07, 296.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.275068
(436.68, 14.07, 296.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.883141
(436.68, 14.07, 296.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.57264
(436.68, 14.07, 296.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.36792
(436.68, 14.07, 296.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.29517
(436.68, 14.07, 296.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.40552
(436.68, 14.07, 296.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.79867
(436.68, 14.07, 296.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.0315
(436.68, 14.07, 296.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.25094
(436.68, 14.07, 296.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.524717
(436.68, 14.07, 296.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.809249
(436.68, 14.07, 296.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.121175
(436.68, 14.07, 296.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.464617
(436.68, 14.07, 296.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.843959
(436.68, 14.07, 296.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.257563
(436.68, 14.07, 296.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.720614
(436.68, 14.07, 296.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.257805
(436.68, 14.07, 296.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.867568
(436.68, 14.07, 296.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.55984
(436.68, 14.07, 296.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.35306
(436.68, 14.07, 296.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.27774
(436.68, 14.07, 296.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.37748
(436.68, 14.07, 296.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.76441
(436.68, 14.07, 296.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.98572
(436.68, 14.07, 296.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.03869
(436.68, 14.07, 296.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.519892
(436.68, 14.07, 296.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.803991
(436.68, 14.07, 296.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.115404
(436.68, 14.07, 296.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.458234
(436.68, 14.07, 296.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.833951
(436.68, 14.07, 296.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.246446
(436.68, 14.07, 296.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.706588
·(436.68, 14.07, 296.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.240368
(436.68, 14.07, 296.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.847703
(436.68, 14.07, 296.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.54269
(436.68, 14.07, 296.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.33795
(436.68, 14.07, 296.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.26006
(436.68, 14.07, 296.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.34896
(436.68, 14.07, 296.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.73658
(436.68, 14.07, 296.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.06042
(436.68, 14.07, 296.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.99022
(436.68, 14.07, 296.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.516047
(436.68, 14.07, 296.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.79866
(436.68, 14.07, 296.76) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.109539
