¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
µ(432.58, 14.49, 325.66) (440.48, 7.42, 297.18) (1.33, 0.85, 1.24) Fence 13.47608
(432.64, 14.59, 324.74) (426.17, 13.49, 302.68) (8.74, 12.03, 17.73) Truck 6.750298
(432.64, 14.59, 324.74) (426.17, 13.49, 302.68) (8.74, 12.03, 17.73) Truck 6.733969
(432.64, 14.59, 324.74) (426.17, 13.49, 302.68) (8.74, 12.03, 17.73) Truck 6.719026
(432.64, 14.59, 324.74) (426.17, 13.49, 302.68) (8.74, 12.03, 17.73) Truck 6.705453
(432.64, 14.59, 324.74) (426.17, 13.49, 302.68) (8.74, 12.03, 17.73) Truck 6.693237
(432.64, 14.59, 324.74) (426.17, 13.49, 302.68) (8.74, 12.03, 17.73) Truck 6.682366
(432.64, 14.59, 324.74) (426.17, 13.49, 302.68) (8.74, 12.03, 17.73) Truck 6.67283
(432.64, 14.59, 324.74) (426.17, 13.49, 302.68) (8.74, 12.03, 17.73) Truck 6.809477
(432.64, 14.59, 324.74) (426.17, 13.49, 302.68) (8.74, 12.03, 17.73) Truck 6.802432
(432.64, 14.59, 324.74) (426.17, 13.49, 302.68) (8.74, 12.03, 17.73) Truck 6.796724
(432.64, 14.59, 324.74) (426.17, 13.49, 302.68) (8.74, 12.03, 17.73) Truck 6.79235
(432.64, 14.59, 324.74) (426.17, 13.49, 302.68) (8.74, 12.03, 17.73) Truck 6.792867
(432.64, 14.59, 324.74) (426.17, 13.49, 302.68) (8.74, 12.03, 17.73) Truck 6.798398
(432.64, 14.59, 324.74) (426.17, 13.49, 302.68) (8.74, 12.03, 17.73) Truck 6.805265
(432.64, 14.59, 324.74) (426.17, 13.49, 302.68) (8.74, 12.03, 17.73) Truck 6.813477
(432.64, 14.59, 324.74) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.461552
(432.64, 14.59, 324.74) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.691525
(432.64, 14.59, 324.74) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.953354
(432.64, 14.59, 324.74) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.238018
(432.64, 14.59, 324.74) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.548494
(432.64, 14.59, 324.74) (426.17, 13.49, 302.68) (8.74, 12.03, 17.73) Truck 7.181074
(432.64, 14.59, 324.74) (426.17, 13.49, 302.68) (8.74, 12.03, 17.73) Truck 7.151917
(432.64, 14.59, 324.74) (426.17, 13.49, 302.68) (8.74, 12.03, 17.73) Truck 7.124381
(432.64, 14.59, 324.74) (426.17, 13.49, 302.68) (8.74, 12.03, 17.73) Truck 6.899932
(432.64, 14.59, 324.74) (426.17, 13.49, 302.68) (8.74, 12.03, 17.73) Truck 6.876229
(432.64, 14.59, 324.74) (426.17, 13.49, 302.68) (8.74, 12.03, 17.73) Truck 6.854021
(432.64, 14.59, 324.74) (426.17, 13.49, 302.68) (8.74, 12.03, 17.73) Truck 6.833283
(432.64, 14.59, 324.74) (426.17, 13.49, 302.68) (8.74, 12.03, 17.73) Truck 6.813994
(432.64, 14.59, 324.74) (426.17, 13.49, 302.68) (8.74, 12.03, 17.73) Truck 6.796135
(432.64, 14.59, 324.74) (426.17, 13.49, 302.68) (8.74, 12.03, 17.73) Truck 6.779689
(432.64, 14.59, 324.74) (426.17, 13.49, 302.68) (8.74, 12.03, 17.73) Truck 6.764637
(432.64, 14.59, 324.74) (426.17, 13.49, 302.68) (8.74, 12.03, 17.73) Truck 6.750965
(432.64, 14.59, 324.74) (426.17, 13.49, 302.68) (8.74, 12.03, 17.73) Truck 6.73866
(432.64, 14.59, 324.74) (426.17, 13.49, 302.68) (8.74, 12.03, 17.73) Truck 6.727708
(432.64, 14.59, 324.74) (426.17, 13.49, 302.68) (8.74, 12.03, 17.73) Truck 6.7181
(432.64, 14.59, 324.74) (426.17, 13.49, 302.68) (8.74, 12.03, 17.73) Truck 6.855666
(432.64, 14.59, 324.74) (426.17, 13.49, 302.68) (8.74, 12.03, 17.73) Truck 6.848565
(432.64, 14.59, 324.74) (426.17, 13.49, 302.68) (8.74, 12.03, 17.73) Truck 6.842812
(432.64, 14.59, 324.74) (426.17, 13.49, 302.68) (8.74, 12.03, 17.73) Truck 6.8384
(432.64, 14.59, 324.74) (426.17, 13.49, 302.68) (8.74, 12.03, 17.73) Truck 6.838937
(432.64, 14.59, 324.74) (426.17, 13.49, 302.68) (8.74, 12.03, 17.73) Truck 6.844548
(432.64, 14.59, 324.74) (426.17, 13.49, 302.68) (8.74, 12.03, 17.73) Truck 6.851504
(432.64, 14.59, 324.74) (426.17, 13.49, 302.68) (8.74, 12.03, 17.73) Truck 6.859813
(432.64, 14.59, 324.74) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.475043
(432.64, 14.59, 324.74) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.718731
(432.64, 14.59, 324.74) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.982908
(432.64, 14.59, 324.74) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.270172
(432.64, 14.59, 324.74) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.58363
™!(432.64, 14.59, 324.74) (426.17, 13.49, 302.68) (8.74, 12.03, 17.73) Truck 7.23166
(432.64, 14.59, 324.74) (426.17, 13.49, 302.68) (8.74, 12.03, 17.73) Truck 7.202291
(432.64, 14.59, 324.74) (426.17, 13.49, 302.68) (8.74, 12.03, 17.73) Truck 7.174551
(432.64, 14.59, 324.74) (426.17, 13.49, 302.68) (8.74, 12.03, 17.73) Truck 6.948513
(432.64, 14.59, 324.74) (426.17, 13.49, 302.68) (8.74, 12.03, 17.73) Truck 6.924636
(432.64, 14.59, 324.74) (426.17, 13.49, 302.68) (8.74, 12.03, 17.73) Truck 6.902262
(432.64, 14.59, 324.74) (426.17, 13.49, 302.68) (8.74, 12.03, 17.73) Truck 6.88137
(432.64, 14.59, 324.74) (426.17, 13.49, 302.68) (8.74, 12.03, 17.73) Truck 6.861938
(432.64, 14.59, 324.74) (426.17, 13.49, 302.68) (8.74, 12.03, 17.73) Truck 6.843946
(432.64, 14.59, 324.74) (426.17, 13.49, 302.68) (8.74, 12.03, 17.73) Truck 6.827376
(432.64, 14.59, 324.74) (426.17, 13.49, 302.68) (8.74, 12.03, 17.73) Truck 6.812211
(432.64, 14.59, 324.74) (426.17, 13.49, 302.68) (8.74, 12.03, 17.73) Truck 6.798435
(432.64, 14.59, 324.74) (426.17, 13.49, 302.68) (8.74, 12.03, 17.73) Truck 6.786036
(432.64, 14.59, 324.74) (426.17, 13.49, 302.68) (8.74, 12.03, 17.73) Truck 6.774999
(432.64, 14.59, 324.74) (426.17, 13.49, 302.68) (8.74, 12.03, 17.73) Truck 6.765315
(432.64, 14.59, 324.74) (426.17, 13.49, 302.68) (8.74, 12.03, 17.73) Truck 6.903841
(432.64, 14.59, 324.74) (426.17, 13.49, 302.68) (8.74, 12.03, 17.73) Truck 6.896683
(432.64, 14.59, 324.74) (426.17, 13.49, 302.68) (8.74, 12.03, 17.73) Truck 6.890881
(432.64, 14.59, 324.74) (426.17, 13.49, 302.68) (8.74, 12.03, 17.73) Truck 6.886431
(432.64, 14.59, 324.74) (426.17, 13.49, 302.68) (8.74, 12.03, 17.73) Truck 6.886987
(432.64, 14.59, 324.74) (426.17, 13.49, 302.68) (8.74, 12.03, 17.73) Truck 6.892682
(432.64, 14.59, 324.74) (426.17, 13.49, 302.68) (8.74, 12.03, 17.73) Truck 6.899732
(432.64, 14.59, 324.74) (426.17, 13.49, 302.68) (8.74, 12.03, 17.73) Truck 6.908144
(432.64, 14.59, 324.74) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.496127
(432.64, 14.59, 324.74) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.746235
(432.64, 14.59, 324.74) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.012767
(432.64, 14.59, 324.74) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.30267
(432.64, 14.59, 324.74) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.61919
(432.64, 14.59, 324.74) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.965959
(432.64, 14.59, 324.74) (426.17, 13.49, 302.68) (8.74, 12.03, 17.73) Truck 7.254807
(432.64, 14.59, 324.74) (426.17, 13.49, 302.68) (8.74, 12.03, 17.73) Truck 7.226857
(432.64, 14.59, 324.74) (426.17, 13.49, 302.68) (8.74, 12.03, 17.73) Truck 6.999161
(432.64, 14.59, 324.74) (426.17, 13.49, 302.68) (8.74, 12.03, 17.73) Truck 6.975101
(432.64, 14.59, 324.74) (426.17, 13.49, 302.68) (8.74, 12.03, 17.73) Truck 6.952556
(432.64, 14.59, 324.74) (426.17, 13.49, 302.68) (8.74, 12.03, 17.73) Truck 6.931505
(432.64, 14.59, 324.74) (426.17, 13.49, 302.68) (8.74, 12.03, 17.73) Truck 6.911923
(432.64, 14.59, 324.74) (426.17, 13.49, 302.68) (8.74, 12.03, 17.73) Truck 6.893791
(432.64, 14.59, 324.74) (426.17, 13.49, 302.68) (8.74, 12.03, 17.73) Truck 6.877092
(432.64, 14.59, 324.74) (426.17, 13.49, 302.68) (8.74, 12.03, 17.73) Truck 6.861808
(432.64, 14.59, 324.74) (426.17, 13.49, 302.68) (8.74, 12.03, 17.73) Truck 6.847924
(432.64, 14.59, 324.74) (426.17, 13.49, 302.68) (8.74, 12.03, 17.73) Truck 6.835426
(432.64, 14.59, 324.74) (426.17, 13.49, 302.68) (8.74, 12.03, 17.73) Truck 6.824301
(432.64, 14.59, 324.74) (426.17, 13.49, 302.68) (8.74, 12.03, 17.73) Truck 6.814539
(432.64, 14.59, 324.74) (426.17, 13.49, 302.68) (8.74, 12.03, 17.73) Truck 6.954066
(432.64, 14.59, 324.74) (426.17, 13.49, 302.68) (8.74, 12.03, 17.73) Truck 6.946847
(432.64, 14.59, 324.74) (426.17, 13.49, 302.68) (8.74, 12.03, 17.73) Truck 6.940995
(432.64, 14.59, 324.74) (426.17, 13.49, 302.68) (8.74, 12.03, 17.73) Truck 6.936505
(432.64, 14.59, 324.74) (426.17, 13.49, 302.68) (8.74, 12.03, 17.73) Truck 6.937078
(432.64, 14.59, 324.74) (426.17, 13.49, 302.68) (8.74, 12.03, 17.73) Truck 6.94286
(432.64, 14.59, 324.74) (426.17, 13.49, 302.68) (8.74, 12.03, 17.73) Truck 6.950007
(432.64, 14.59, 324.74) (426.17, 13.49, 302.68) (8.74, 12.03, 17.73) Truck 6.958529
ó (432.64, 14.59, 324.74) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.493999
(432.64, 14.59, 324.74) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.773491
(432.64, 14.59, 324.74) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.042956
(432.64, 14.59, 324.74) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.335565
(432.64, 14.59, 324.74) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.655137
(432.64, 14.59, 324.74) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.005428
(432.64, 14.59, 324.74) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.385921
(432.64, 14.59, 324.74) (426.17, 13.49, 302.68) (8.74, 12.03, 17.73) Truck 7.281364
(432.64, 14.59, 324.74) (426.17, 13.49, 302.68) (8.74, 12.03, 17.73) Truck 7.051942
(432.64, 14.59, 324.74) (426.17, 13.49, 302.68) (8.74, 12.03, 17.73) Truck 7.027691
(432.64, 14.59, 324.74) (426.17, 13.49, 302.68) (8.74, 12.03, 17.73) Truck 7.004967
(432.64, 14.59, 324.74) (426.17, 13.49, 302.68) (8.74, 12.03, 17.73) Truck 6.983748
(432.64, 14.59, 324.74) (426.17, 13.49, 302.68) (8.74, 12.03, 17.73) Truck 6.96401
(432.64, 14.59, 324.74) (426.17, 13.49, 302.68) (8.74, 12.03, 17.73) Truck 6.945735
(432.64, 14.59, 324.74) (426.17, 13.49, 302.68) (8.74, 12.03, 17.73) Truck 6.928901
(432.64, 14.59, 324.74) (426.17, 13.49, 302.68) (8.74, 12.03, 17.73) Truck 6.913493
(432.64, 14.59, 324.74) (426.17, 13.49, 302.68) (8.74, 12.03, 17.73) Truck 6.899496
(432.64, 14.59, 324.74) (426.17, 13.49, 302.68) (8.74, 12.03, 17.73) Truck 6.886894
(432.64, 14.59, 324.74) (426.17, 13.49, 302.68) (8.74, 12.03, 17.73) Truck 6.875678
(432.64, 14.59, 324.74) (426.17, 13.49, 302.68) (8.74, 12.03, 17.73) Truck 6.865835
(432.64, 14.59, 324.74) (426.17, 13.49, 302.68) (8.74, 12.03, 17.73) Truck 7.006402
(432.64, 14.59, 324.74) (426.17, 13.49, 302.68) (8.74, 12.03, 17.73) Truck 6.999121
(432.64, 14.59, 324.74) (426.17, 13.49, 302.68) (8.74, 12.03, 17.73) Truck 6.993217
(432.64, 14.59, 324.74) (426.17, 13.49, 302.68) (8.74, 12.03, 17.73) Truck 6.988685
(432.64, 14.59, 324.74) (426.17, 13.49, 302.68) (8.74, 12.03, 17.73) Truck 6.989274
(432.64, 14.59, 324.74) (426.17, 13.49, 302.68) (8.74, 12.03, 17.73) Truck 6.995149
(432.64, 14.59, 324.74) (426.17, 13.49, 302.68) (8.74, 12.03, 17.73) Truck 7.002399
(432.64, 14.59, 324.74) (426.17, 13.49, 302.68) (8.74, 12.03, 17.73) Truck 7.011034
(432.64, 14.59, 324.74) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.491817
(432.64, 14.59, 324.74) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.771112
(432.64, 14.59, 324.74) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.073463
(432.64, 14.59, 324.74) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.368848
(432.64, 14.59, 324.74) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.691519
(432.64, 14.59, 324.74) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.045375
(432.64, 14.59, 324.74) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.427502
(432.64, 14.59, 324.74) (426.17, 13.49, 302.68) (8.74, 12.03, 17.73) Truck 7.487995
(432.64, 14.59, 324.74) (426.17, 13.49, 302.68) (8.74, 12.03, 17.73) Truck 7.106925
(432.64, 14.59, 324.74) (426.17, 13.49, 302.68) (8.74, 12.03, 17.73) Truck 7.082476
(432.64, 14.59, 324.74) (426.17, 13.49, 302.68) (8.74, 12.03, 17.73) Truck 7.059567
(432.64, 14.59, 324.74) (426.17, 13.49, 302.68) (8.74, 12.03, 17.73) Truck 7.038171
(432.64, 14.59, 324.74) (426.17, 13.49, 302.68) (8.74, 12.03, 17.73) Truck 7.01827
(432.64, 14.59, 324.74) (426.17, 13.49, 302.68) (8.74, 12.03, 17.73) Truck 6.999843
(432.64, 14.59, 324.74) (426.17, 13.49, 302.68) (8.74, 12.03, 17.73) Truck 6.98287
(432.64, 14.59, 324.74) (426.17, 13.49, 302.68) (8.74, 12.03, 17.73) Truck 6.967333
(432.64, 14.59, 324.74) (426.17, 13.49, 302.68) (8.74, 12.03, 17.73) Truck 6.953218
(432.64, 14.59, 324.74) (426.17, 13.49, 302.68) (8.74, 12.03, 17.73) Truck 6.940511
(432.64, 14.59, 324.74) (426.17, 13.49, 302.68) (8.74, 12.03, 17.73) Truck 6.929198
(432.64, 14.59, 324.74) (426.17, 13.49, 302.68) (8.74, 12.03, 17.73) Truck 6.919268
(432.64, 14.59, 324.74) (426.17, 13.49, 302.68) (8.74, 12.03, 17.73) Truck 7.060922
(432.64, 14.59, 324.74) (426.17, 13.49, 302.68) (8.74, 12.03, 17.73) Truck 7.053574
(432.64, 14.59, 324.74) (426.17, 13.49, 302.68) (8.74, 12.03, 17.73) Truck 7.047615
¯ (432.64, 14.59, 324.74) (426.17, 13.49, 302.68) (8.74, 12.03, 17.73) Truck 7.043039
(432.64, 14.59, 324.74) (426.17, 13.49, 302.68) (8.74, 12.03, 17.73) Truck 7.043643
(432.64, 14.59, 324.74) (426.17, 13.49, 302.68) (8.74, 12.03, 17.73) Truck 7.049614
(432.64, 14.59, 324.74) (426.17, 13.49, 302.68) (8.74, 12.03, 17.73) Truck 7.056974
(432.64, 14.59, 324.74) (426.17, 13.49, 302.68) (8.74, 12.03, 17.73) Truck 7.065728
(432.76, 14.57, 323.68) (441.37, 8.86, 305.33) (7.63, 3.00, 7.50) Truck 2.598568
(432.76, 14.57, 323.68) (441.37, 8.86, 305.33) (7.63, 3.00, 7.50) Truck 2.590981
(432.76, 14.57, 323.68) (441.37, 8.86, 305.33) (7.63, 3.00, 7.50) Truck 2.583941
(432.76, 14.57, 323.68) (441.37, 8.86, 305.33) (7.63, 3.00, 7.50) Truck 2.577441
(432.76, 14.57, 323.68) (441.37, 8.86, 305.33) (7.63, 3.00, 7.50) Truck 2.571473
(432.76, 14.57, 323.68) (441.37, 8.86, 305.33) (7.63, 3.00, 7.50) Truck 2.566031
(432.76, 14.57, 323.68) (441.37, 8.86, 305.33) (7.63, 3.00, 7.50) Truck 2.561111
(432.76, 14.57, 323.68) (441.37, 8.86, 305.33) (7.63, 3.00, 7.50) Truck 2.556708
(432.76, 14.57, 323.68) (441.37, 8.86, 305.33) (7.63, 3.00, 7.50) Truck 2.552815
(432.76, 14.57, 323.68) (441.37, 8.86, 305.33) (7.63, 3.00, 7.50) Truck 2.549432
(432.76, 14.57, 323.68) (441.37, 8.86, 305.33) (7.63, 3.00, 7.50) Truck 2.546553
(432.76, 14.57, 323.68) (441.37, 8.86, 305.33) (7.63, 3.00, 7.50) Truck 2.544176
(432.76, 14.57, 323.68) (441.37, 8.86, 305.33) (7.63, 3.00, 7.50) Truck 2.542299
(432.76, 14.57, 323.68) (441.37, 8.86, 305.33) (7.63, 3.00, 7.50) Truck 2.540919
(432.76, 14.57, 323.68) (441.37, 8.86, 305.33) (7.63, 3.00, 7.50) Truck 2.540036
(432.76, 14.57, 323.68) (441.37, 8.86, 305.33) (7.63, 3.00, 7.50) Truck 2.539648
(432.76, 14.57, 323.68) (441.37, 8.86, 305.33) (7.63, 3.00, 7.50) Truck 2.539755
(432.76, 14.57, 323.68) (441.37, 8.86, 305.33) (7.63, 3.00, 7.50) Truck 2.540358
(432.76, 14.57, 323.68) (441.37, 8.86, 305.33) (7.63, 3.00, 7.50) Truck 2.541457
(432.76, 14.57, 323.68) (441.37, 8.86, 305.33) (7.63, 3.00, 7.50) Truck 2.54533
(432.76, 14.57, 323.68) (441.37, 8.86, 305.33) (7.63, 3.00, 7.50) Truck 2.549973
(432.76, 14.57, 323.68) (441.37, 8.86, 305.33) (7.63, 3.00, 7.50) Truck 2.555133
(432.76, 14.57, 323.68) (441.37, 8.86, 305.33) (7.63, 3.00, 7.50) Truck 2.560813
(432.76, 14.57, 323.68) (441.37, 8.86, 305.33) (7.63, 3.00, 7.50) Truck 2.568454
(432.76, 14.57, 323.68) (441.37, 8.86, 305.33) (7.63, 3.00, 7.50) Truck 2.577327
(432.76, 14.57, 323.68) (441.37, 8.86, 305.33) (7.63, 3.00, 7.50) Truck 2.58846
(432.76, 14.57, 323.68) (441.37, 8.86, 305.33) (7.63, 3.00, 7.50) Truck 2.600819
(432.76, 14.57, 323.68) (441.37, 8.86, 305.33) (7.63, 3.00, 7.50) Truck 2.613809
(432.76, 14.57, 323.68) (441.37, 8.86, 305.33) (7.63, 3.00, 7.50) Truck 2.572881
(432.76, 14.57, 323.68) (441.37, 8.86, 305.33) (7.63, 3.00, 7.50) Truck 2.563869
(432.76, 14.57, 323.68) (441.37, 8.86, 305.33) (7.63, 3.00, 7.50) Truck 2.555416
(432.76, 14.57, 323.68) (441.37, 8.86, 305.33) (7.63, 3.00, 7.50) Truck 2.547754
(432.76, 14.57, 323.68) (441.37, 8.86, 305.33) (7.63, 3.00, 7.50) Truck 2.541796
(432.76, 14.57, 323.68) (441.37, 8.86, 305.33) (7.63, 3.00, 7.50) Truck 2.536359
(432.76, 14.57, 323.68) (441.37, 8.86, 305.33) (7.63, 3.00, 7.50) Truck 2.531438
(432.76, 14.57, 323.68) (441.37, 8.86, 305.33) (7.63, 3.00, 7.50) Truck 2.527027
(432.76, 14.57, 323.68) (441.37, 8.86, 305.33) (7.63, 3.00, 7.50) Truck 2.523124
(432.76, 14.57, 323.68) (441.37, 8.86, 305.33) (7.63, 3.00, 7.50) Truck 2.519722
(432.76, 14.57, 323.68) (441.37, 8.86, 305.33) (7.63, 3.00, 7.50) Truck 2.51682
(432.76, 14.57, 323.68) (441.37, 8.86, 305.33) (7.63, 3.00, 7.50) Truck 2.514414
(432.76, 14.57, 323.68) (441.37, 8.86, 305.33) (7.63, 3.00, 7.50) Truck 2.512501
(432.76, 14.57, 323.68) (441.37, 8.86, 305.33) (7.63, 3.00, 7.50) Truck 2.511081
(432.76, 14.57, 323.68) (441.37, 8.86, 305.33) (7.63, 3.00, 7.50) Truck 2.510152
(432.76, 14.57, 323.68) (441.37, 8.86, 305.33) (7.63, 3.00, 7.50) Truck 2.509713
(432.76, 14.57, 323.68) (441.37, 8.86, 305.33) (7.63, 3.00, 7.50) Truck 2.509762
(432.76, 14.57, 323.68) (441.37, 8.86, 305.33) (7.63, 3.00, 7.50) Truck 2.510301
  (432.76, 14.57, 323.68) (441.37, 8.86, 305.33) (7.63, 3.00, 7.50) Truck 2.512373
(432.76, 14.57, 323.68) (441.37, 8.86, 305.33) (7.63, 3.00, 7.50) Truck 2.516375
(432.76, 14.57, 323.68) (441.37, 8.86, 305.33) (7.63, 3.00, 7.50) Truck 2.520882
(432.76, 14.57, 323.68) (441.37, 8.86, 305.33) (7.63, 3.00, 7.50) Truck 2.527025
(432.76, 14.57, 323.68) (441.37, 8.86, 305.33) (7.63, 3.00, 7.50) Truck 2.535293
(432.76, 14.57, 323.68) (441.37, 8.86, 305.33) (7.63, 3.00, 7.50) Truck 2.545668
(432.76, 14.57, 323.68) (441.37, 8.86, 305.33) (7.63, 3.00, 7.50) Truck 2.556627
(432.76, 14.57, 323.68) (441.37, 8.86, 305.33) (7.63, 3.00, 7.50) Truck 2.568185
(432.76, 14.57, 323.68) (441.37, 8.86, 305.33) (7.63, 3.00, 7.50) Truck 2.580353
(432.76, 14.57, 323.68) (441.37, 8.86, 305.33) (7.63, 3.00, 7.50) Truck 2.593145
(432.76, 14.57, 323.68) (441.37, 8.86, 305.33) (7.63, 3.00, 7.50) Truck 2.552625
(432.76, 14.57, 323.68) (441.37, 8.86, 305.33) (7.63, 3.00, 7.50) Truck 2.543654
(432.76, 14.57, 323.68) (441.37, 8.86, 305.33) (7.63, 3.00, 7.50) Truck 2.535239
(432.76, 14.57, 323.68) (441.37, 8.86, 305.33) (7.63, 3.00, 7.50) Truck 2.52737
(432.76, 14.57, 323.68) (441.37, 8.86, 305.33) (7.63, 3.00, 7.50) Truck 2.520041
(432.76, 14.57, 323.68) (441.37, 8.86, 305.33) (7.63, 3.00, 7.50) Truck 2.513241
(432.76, 14.57, 323.68) (441.37, 8.86, 305.33) (7.63, 3.00, 7.50) Truck 2.506966
(432.76, 14.57, 323.68) (441.37, 8.86, 305.33) (7.63, 3.00, 7.50) Truck 2.501208
(432.76, 14.57, 323.68) (441.37, 8.86, 305.33) (7.63, 3.00, 7.50) Truck 2.495963
(432.76, 14.57, 323.68) (441.37, 8.86, 305.33) (7.63, 3.00, 7.50) Truck 2.491224
(432.76, 14.57, 323.68) (441.37, 8.86, 305.33) (7.63, 3.00, 7.50) Truck 2.488239
(432.76, 14.57, 323.68) (441.37, 8.86, 305.33) (7.63, 3.00, 7.50) Truck 2.485806
(432.76, 14.57, 323.68) (441.37, 8.86, 305.33) (7.63, 3.00, 7.50) Truck 2.483862
(432.76, 14.57, 323.68) (441.37, 8.86, 305.33) (7.63, 3.00, 7.50) Truck 2.482405
(432.76, 14.57, 323.68) (441.37, 8.86, 305.33) (7.63, 3.00, 7.50) Truck 2.481432
(432.76, 14.57, 323.68) (441.37, 8.86, 305.33) (7.63, 3.00, 7.50) Truck 2.480944
(432.76, 14.57, 323.68) (441.37, 8.86, 305.33) (7.63, 3.00, 7.50) Truck 2.48094
(432.76, 14.57, 323.68) (441.37, 8.86, 305.33) (7.63, 3.00, 7.50) Truck 2.481419
(432.76, 14.57, 323.68) (441.37, 8.86, 305.33) (7.63, 3.00, 7.50) Truck 2.484663
(432.76, 14.57, 323.68) (441.37, 8.86, 305.33) (7.63, 3.00, 7.50) Truck 2.489368
(432.76, 14.57, 323.68) (441.37, 8.86, 305.33) (7.63, 3.00, 7.50) Truck 2.497613
(432.76, 14.57, 323.68) (441.37, 8.86, 305.33) (7.63, 3.00, 7.50) Truck 2.506696
(432.76, 14.57, 323.68) (441.37, 8.86, 305.33) (7.63, 3.00, 7.50) Truck 2.516337
(432.76, 14.57, 323.68) (441.37, 8.86, 305.33) (7.63, 3.00, 7.50) Truck 2.526547
(432.76, 14.57, 323.68) (441.37, 8.86, 305.33) (7.63, 3.00, 7.50) Truck 2.537337
(432.76, 14.57, 323.68) (441.37, 8.86, 305.33) (7.63, 3.00, 7.50) Truck 2.548719
(432.76, 14.57, 323.68) (441.37, 8.86, 305.33) (7.63, 3.00, 7.50) Truck 2.560704
(432.76, 14.57, 323.68) (441.37, 8.86, 305.33) (7.63, 3.00, 7.50) Truck 2.573307
(432.76, 14.57, 323.68) (441.37, 8.86, 305.33) (7.63, 3.00, 7.50) Truck 2.533158
(432.76, 14.57, 323.68) (441.37, 8.86, 305.33) (7.63, 3.00, 7.50) Truck 2.524228
(432.76, 14.57, 323.68) (441.37, 8.86, 305.33) (7.63, 3.00, 7.50) Truck 2.51585
(432.76, 14.57, 323.68) (441.37, 8.86, 305.33) (7.63, 3.00, 7.50) Truck 2.508014
(432.76, 14.57, 323.68) (441.37, 8.86, 305.33) (7.63, 3.00, 7.50) Truck 2.500712
(432.76, 14.57, 323.68) (441.37, 8.86, 305.33) (7.63, 3.00, 7.50) Truck 2.493938
(432.76, 14.57, 323.68) (441.37, 8.86, 305.33) (7.63, 3.00, 7.50) Truck 2.487684
(432.76, 14.57, 323.68) (441.37, 8.86, 305.33) (7.63, 3.00, 7.50) Truck 2.481945
(432.76, 14.57, 323.68) (441.37, 8.86, 305.33) (7.63, 3.00, 7.50) Truck 2.476713
(432.76, 14.57, 323.68) (441.37, 8.86, 305.33) (7.63, 3.00, 7.50) Truck 2.471984
(432.76, 14.57, 323.68) (441.37, 8.86, 305.33) (7.63, 3.00, 7.50) Truck 2.467754
(432.76, 14.57, 323.68) (441.37, 8.86, 305.33) (7.63, 3.00, 7.50) Truck 2.464017
(432.76, 14.57, 323.68) (441.37, 8.86, 305.33) (7.63, 3.00, 7.50) Truck 2.460771
Ÿ (432.76, 14.57, 323.68) (441.37, 8.86, 305.33) (7.63, 3.00, 7.50) Truck 2.458011
(432.76, 14.57, 323.68) (441.37, 8.86, 305.33) (7.63, 3.00, 7.50) Truck 2.455737
(432.76, 14.57, 323.68) (441.37, 8.86, 305.33) (7.63, 3.00, 7.50) Truck 2.453944
(432.76, 14.57, 323.68) (441.37, 8.86, 305.33) (7.63, 3.00, 7.50) Truck 2.453237
