¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
»(331.57, 7.41, 368.64) (332.23, 1.41, 344.97) (0.81, 2.16, 0.81) Human 8.146701
(331.88, 7.43, 367.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.577927
(331.88, 7.43, 367.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.855817
(331.88, 7.43, 367.35) (330.38, 1.25, 346.82) (1.45, 2.50, 0.40) Cabin 7.157375
(331.88, 7.43, 367.35) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 7.126893
(331.88, 7.43, 367.35) (330.38, 1.25, 346.82) (1.45, 2.50, 0.40) Cabin 7.098047
(331.88, 7.43, 367.35) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 7.070807
(331.88, 7.43, 367.35) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 7.045144
(331.88, 7.43, 367.35) (330.38, 1.25, 346.82) (1.45, 2.50, 0.40) Cabin 7.021029
(331.88, 7.43, 367.35) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 6.998439
(331.88, 7.43, 367.35) (330.38, 1.25, 346.82) (1.45, 2.50, 0.40) Cabin 6.97735
(331.88, 7.43, 367.35) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 6.957739
(331.88, 7.43, 367.35) (330.38, 1.25, 346.82) (1.45, 2.50, 0.40) Cabin 6.939589
(331.88, 7.43, 367.35) (330.38, 1.25, 346.82) (1.45, 2.50, 0.40) Cabin 6.922878
(331.88, 7.43, 367.35) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 6.907591
(331.88, 7.43, 367.35) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 6.893713
(331.88, 7.43, 367.35) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 6.881228
(331.88, 7.43, 367.35) (330.38, 1.25, 346.82) (1.45, 2.50, 0.40) Cabin 6.870126
(331.88, 7.43, 367.35) (330.38, 1.25, 346.82) (1.45, 2.50, 0.40) Cabin 6.860396
(331.88, 7.43, 367.35) (330.38, 1.25, 346.82) (1.45, 2.50, 0.40) Cabin 6.852026
(331.88, 7.43, 367.35) (330.38, 1.25, 346.82) (1.45, 2.50, 0.40) Cabin 6.84501
(331.88, 7.43, 367.35) (330.38, 1.25, 346.82) (1.45, 2.50, 0.40) Cabin 6.839341
(331.88, 7.43, 367.35) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 6.835011
(331.88, 7.43, 367.35) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 6.832018
(331.88, 7.43, 367.35) (330.38, 1.25, 346.82) (1.45, 2.50, 0.40) Cabin 6.83036
(331.88, 7.43, 367.35) (330.38, 1.25, 346.82) (1.45, 2.50, 0.40) Cabin 6.830032
(331.88, 7.43, 367.35) (330.07, 2.56, 345.68) (2.10, 0.13, 2.78) Cabin 6.776961
(331.88, 7.43, 367.35) (317.63, 1.73, 338.04) (2.61, 2.77, 8.24) Truck 23.20153
(331.88, 7.43, 367.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.322467
(331.88, 7.43, 367.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.577503
(331.88, 7.43, 367.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.855377
(331.88, 7.43, 367.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.159217
ã(331.88, 7.43, 367.35) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 7.187626
(331.88, 7.43, 367.35) (330.38, 1.25, 346.82) (1.45, 2.50, 0.40) Cabin 7.158538
(331.88, 7.43, 367.35) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 7.131069
(331.88, 7.43, 367.35) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 7.10519
(331.88, 7.43, 367.35) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 7.080873
(331.88, 7.43, 367.35) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 7.058095
(331.88, 7.43, 367.35) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 7.036828
(331.88, 7.43, 367.35) (330.38, 1.25, 346.82) (1.45, 2.50, 0.40) Cabin 7.017054
(331.88, 7.43, 367.35) (330.38, 1.25, 346.82) (1.45, 2.50, 0.40) Cabin 6.998751
(331.88, 7.43, 367.35) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 6.981901
(331.88, 7.43, 367.35) (330.38, 1.25, 346.82) (1.45, 2.50, 0.40) Cabin 6.966487
(331.88, 7.43, 367.35) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 6.952494
(331.88, 7.43, 367.35) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 6.939906
(331.88, 7.43, 367.35) (330.38, 1.25, 346.82) (1.45, 2.50, 0.40) Cabin 6.928712
(331.88, 7.43, 367.35) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 6.918901
(331.88, 7.43, 367.35) (330.38, 1.25, 346.82) (1.45, 2.50, 0.40) Cabin 6.910463
(331.88, 7.43, 367.35) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 6.90339
(331.88, 7.43, 367.35) (330.38, 1.25, 346.82) (1.45, 2.50, 0.40) Cabin 6.897675
(331.88, 7.43, 367.35) (330.38, 1.25, 346.82) (1.45, 2.50, 0.40) Cabin 6.893311
(331.88, 7.43, 367.35) (330.38, 1.25, 346.82) (1.45, 2.50, 0.40) Cabin 6.890297
(331.88, 7.43, 367.35) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 6.888627
(331.88, 7.43, 367.35) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 6.888299
(331.88, 7.43, 367.35) (330.07, 2.56, 345.68) (2.10, 0.13, 2.78) Cabin 6.834779
(331.88, 7.43, 367.35) (317.63, 1.73, 338.04) (2.61, 2.77, 8.24) Truck 22.89705
(331.88, 7.43, 367.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.322104
(331.88, 7.43, 367.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.577102
(331.88, 7.43, 367.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.85491
(331.88, 7.43, 367.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.158698
(331.88, 7.43, 367.35) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 7.250829
(331.88, 7.43, 367.35) (330.38, 1.25, 346.82) (1.45, 2.50, 0.40) Cabin 7.221488
(331.88, 7.43, 367.35) (330.38, 1.25, 346.82) (1.45, 2.50, 0.40) Cabin 7.193781
(331.88, 7.43, 367.35) (330.38, 1.25, 346.82) (1.45, 2.50, 0.40) Cabin 7.167678
(331.88, 7.43, 367.35) (330.38, 1.25, 346.82) (1.45, 2.50, 0.40) Cabin 7.14315
(331.88, 7.43, 367.35) (330.38, 1.25, 346.82) (1.45, 2.50, 0.40) Cabin 7.120174
(331.88, 7.43, 367.35) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 7.098725
(331.88, 7.43, 367.35) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 7.07878
(331.88, 7.43, 367.35) (330.38, 1.25, 346.82) (1.45, 2.50, 0.40) Cabin 7.060319
(331.88, 7.43, 367.35) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 7.043324
(331.88, 7.43, 367.35) (330.38, 1.25, 346.82) (1.45, 2.50, 0.40) Cabin 7.027777
(331.88, 7.43, 367.35) (330.38, 1.25, 346.82) (1.45, 2.50, 0.40) Cabin 7.013663
(331.88, 7.43, 367.35) (330.38, 1.25, 346.82) (1.45, 2.50, 0.40) Cabin 7.000968
(331.88, 7.43, 367.35) (330.38, 1.25, 346.82) (1.45, 2.50, 0.40) Cabin 6.989679
(331.88, 7.43, 367.35) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 6.979785
(331.88, 7.43, 367.35) (330.38, 1.25, 346.82) (1.45, 2.50, 0.40) Cabin 6.971276
(331.88, 7.43, 367.35) (330.38, 1.25, 346.82) (1.45, 2.50, 0.40) Cabin 6.964143
(331.88, 7.43, 367.35) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 6.958381
(331.88, 7.43, 367.35) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 6.953984
(331.88, 7.43, 367.35) (330.38, 1.25, 346.82) (1.45, 2.50, 0.40) Cabin 6.950944
(331.88, 7.43, 367.35) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 6.949262
(331.88, 7.43, 367.35) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 6.948936
(331.88, 7.43, 367.35) (330.07, 2.56, 345.68) (2.10, 0.13, 2.78) Cabin 6.894948
Ú(331.88, 7.43, 367.35) (317.63, 1.73, 338.04) (2.61, 2.77, 8.24) Truck 22.60482
(331.88, 7.43, 367.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.321687
(331.88, 7.43, 367.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.57668
(331.88, 7.43, 367.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.854475
(331.88, 7.43, 367.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.158211
(331.88, 7.43, 367.35) (330.38, 1.25, 346.82) (1.45, 2.50, 0.40) Cabin 7.31659
(331.88, 7.43, 367.35) (330.38, 1.25, 346.82) (1.45, 2.50, 0.40) Cabin 7.286986
(331.88, 7.43, 367.35) (330.38, 1.25, 346.82) (1.45, 2.50, 0.40) Cabin 7.259032
(331.88, 7.43, 367.35) (330.38, 1.25, 346.82) (1.45, 2.50, 0.40) Cabin 7.232695
(331.88, 7.43, 367.35) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 7.20795
(331.88, 7.43, 367.35) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 7.184769
(331.88, 7.43, 367.35) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 7.163127
(331.88, 7.43, 367.35) (330.38, 1.25, 346.82) (1.45, 2.50, 0.40) Cabin 7.143004
(331.88, 7.43, 367.35) (330.38, 1.25, 346.82) (1.45, 2.50, 0.40) Cabin 7.12438
(331.88, 7.43, 367.35) (330.38, 1.25, 346.82) (1.45, 2.50, 0.40) Cabin 7.107234
(331.88, 7.43, 367.35) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 7.091549
(331.88, 7.43, 367.35) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 7.077312
(331.88, 7.43, 367.35) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 7.064504
(331.88, 7.43, 367.35) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 7.053116
(331.88, 7.43, 367.35) (330.38, 1.25, 346.82) (1.45, 2.50, 0.40) Cabin 7.043135
(331.88, 7.43, 367.35) (330.38, 1.25, 346.82) (1.45, 2.50, 0.40) Cabin 7.034552
(331.88, 7.43, 367.35) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 7.027358
(331.88, 7.43, 367.35) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 7.021547
(331.88, 7.43, 367.35) (330.38, 1.25, 346.82) (1.45, 2.50, 0.40) Cabin 7.017112
(331.88, 7.43, 367.35) (330.38, 1.25, 346.82) (1.45, 2.50, 0.40) Cabin 7.014048
(331.88, 7.43, 367.35) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 7.012354
(331.88, 7.43, 367.35) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 7.012028
(331.88, 7.43, 367.35) (330.07, 2.56, 345.68) (2.10, 0.13, 2.78) Cabin 6.957552
(331.88, 7.43, 367.35) (317.63, 1.73, 338.04) (2.61, 2.77, 8.24) Truck 22.32425
(331.88, 7.43, 367.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.321303
(331.88, 7.43, 367.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.576234
(331.88, 7.43, 367.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.853991
(331.88, 7.43, 367.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.157671
(331.88, 7.43, 367.35) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 7.385005
(331.88, 7.43, 367.35) (330.38, 1.25, 346.82) (1.45, 2.50, 0.40) Cabin 7.35513
(331.88, 7.43, 367.35) (330.38, 1.25, 346.82) (1.45, 2.50, 0.40) Cabin 7.326916
(331.88, 7.43, 367.35) (330.38, 1.25, 346.82) (1.45, 2.50, 0.40) Cabin 7.300337
(331.88, 7.43, 367.35) (330.38, 1.25, 346.82) (1.45, 2.50, 0.40) Cabin 7.275363
(331.88, 7.43, 367.35) (330.38, 1.25, 346.82) (1.45, 2.50, 0.40) Cabin 7.251969
(331.88, 7.43, 367.35) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 7.23013
(331.88, 7.43, 367.35) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 7.209823
(331.88, 7.43, 367.35) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 7.191027
(331.88, 7.43, 367.35) (330.38, 1.25, 346.82) (1.45, 2.50, 0.40) Cabin 7.173724
(331.88, 7.43, 367.35) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 7.157897
(331.88, 7.43, 367.35) (330.38, 1.25, 346.82) (1.45, 2.50, 0.40) Cabin 7.143528
(331.88, 7.43, 367.35) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 7.130606
(331.88, 7.43, 367.35) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 7.119114
(331.88, 7.43, 367.35) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 7.109044
(331.88, 7.43, 367.35) (330.38, 1.25, 346.82) (1.45, 2.50, 0.40) Cabin 7.100383
(331.88, 7.43, 367.35) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 7.093126
(331.88, 7.43, 367.35) (330.38, 1.25, 346.82) (1.45, 2.50, 0.40) Cabin 7.087262
Ü(331.88, 7.43, 367.35) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 7.082789
(331.88, 7.43, 367.35) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 7.079701
(331.88, 7.43, 367.35) (330.38, 1.25, 346.82) (1.45, 2.50, 0.40) Cabin 7.077994
(331.88, 7.43, 367.35) (330.38, 1.25, 346.82) (1.45, 2.50, 0.40) Cabin 7.077669
(331.88, 7.43, 367.35) (330.07, 2.56, 345.68) (2.10, 0.13, 2.78) Cabin 7.022686
(331.88, 7.43, 367.35) (317.63, 1.73, 338.04) (2.61, 2.77, 8.24) Truck 22.05481
(331.88, 7.43, 367.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.320888
(331.88, 7.43, 367.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.575765
(331.88, 7.43, 367.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.853477
(331.88, 7.43, 367.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.157159
(331.88, 7.43, 367.35) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 7.456179
(331.88, 7.43, 367.35) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 7.426019
(331.88, 7.43, 367.35) (330.38, 1.25, 346.82) (1.45, 2.50, 0.40) Cabin 7.397539
(331.88, 7.43, 367.35) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 7.370707
(331.88, 7.43, 367.35) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 7.345496
(331.88, 7.43, 367.35) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 7.32188
(331.88, 7.43, 367.35) (330.38, 1.25, 346.82) (1.45, 2.50, 0.40) Cabin 7.299833
(331.88, 7.43, 367.35) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 7.279334
(331.88, 7.43, 367.35) (330.38, 1.25, 346.82) (1.45, 2.50, 0.40) Cabin 7.260361
(331.88, 7.43, 367.35) (330.38, 1.25, 346.82) (1.45, 2.50, 0.40) Cabin 7.242896
(331.88, 7.43, 367.35) (330.38, 1.25, 346.82) (1.45, 2.50, 0.40) Cabin 7.226919
(331.88, 7.43, 367.35) (330.38, 1.25, 346.82) (1.45, 2.50, 0.40) Cabin 7.212417
(331.88, 7.43, 367.35) (330.38, 1.25, 346.82) (1.45, 2.50, 0.40) Cabin 7.199372
(331.88, 7.43, 367.35) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 7.187773
(331.88, 7.43, 367.35) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 7.177609
(331.88, 7.43, 367.35) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 7.168869
(331.88, 7.43, 367.35) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 7.161545
(331.88, 7.43, 367.35) (330.38, 1.25, 346.82) (1.45, 2.50, 0.40) Cabin 7.15563
(331.88, 7.43, 367.35) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 7.151117
(331.88, 7.43, 367.35) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 7.148002
(331.88, 7.43, 367.35) (330.38, 1.25, 346.82) (1.45, 2.50, 0.40) Cabin 7.146283
(331.88, 7.43, 367.35) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 7.145957
(331.88, 7.43, 367.35) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 7.090448
(331.88, 7.43, 367.35) (317.63, 1.73, 338.04) (2.61, 2.77, 8.24) Truck 21.79599
(331.88, 7.43, 367.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.320912
(331.88, 7.43, 367.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.575313
(331.88, 7.43, 367.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.852989
(331.88, 7.43, 367.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.156587
(331.88, 7.43, 367.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.489858
(331.88, 7.43, 367.35) (330.38, 1.25, 346.82) (1.45, 2.50, 0.40) Cabin 7.499762
(331.88, 7.43, 367.35) (330.38, 1.25, 346.82) (1.45, 2.50, 0.40) Cabin 7.471004
(331.88, 7.43, 367.35) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 7.443909
(331.88, 7.43, 367.35) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 7.418452
(331.88, 7.43, 367.35) (330.38, 1.25, 346.82) (1.45, 2.50, 0.40) Cabin 7.394605
(331.88, 7.43, 367.35) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 7.372344
(331.88, 7.43, 367.35) (330.38, 1.25, 346.82) (1.45, 2.50, 0.40) Cabin 7.351645
(331.88, 7.43, 367.35) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 7.332488
(331.88, 7.43, 367.35) (330.38, 1.25, 346.82) (1.45, 2.50, 0.40) Cabin 7.314852
(331.88, 7.43, 367.35) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 7.298721
(331.88, 7.43, 367.35) (330.38, 1.25, 346.82) (1.45, 2.50, 0.40) Cabin 7.284077
(331.88, 7.43, 367.35) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 7.270907
Ø(331.88, 7.43, 367.35) (330.38, 1.25, 346.82) (1.45, 2.50, 0.40) Cabin 7.259197
(331.88, 7.43, 367.35) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 7.248936
(331.88, 7.43, 367.35) (330.38, 1.25, 346.82) (1.45, 2.50, 0.40) Cabin 7.240113
(331.88, 7.43, 367.35) (330.38, 1.25, 346.82) (1.45, 2.50, 0.40) Cabin 7.232719
(331.88, 7.43, 367.35) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 7.22675
(331.88, 7.43, 367.35) (330.38, 1.25, 346.82) (1.45, 2.50, 0.40) Cabin 7.222195
(331.88, 7.43, 367.35) (330.38, 1.25, 346.82) (1.45, 2.50, 0.40) Cabin 7.219053
(331.88, 7.43, 367.35) (330.38, 1.25, 346.82) (1.45, 2.50, 0.40) Cabin 7.21732
(331.88, 7.43, 367.35) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 7.216995
(331.88, 7.43, 367.35) (330.07, 2.56, 345.68) (2.10, 0.13, 2.78) Cabin 7.160938
(331.88, 7.43, 367.35) (317.63, 1.73, 338.04) (2.61, 2.77, 8.24) Truck 21.54733
(331.88, 7.43, 367.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.322267
(331.88, 7.43, 367.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.574854
(331.88, 7.43, 367.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.852469
(331.88, 7.43, 367.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.156063
(331.88, 7.43, 367.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.489272
(331.88, 7.43, 367.35) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 7.576475
(331.88, 7.43, 367.35) (330.38, 1.25, 346.82) (1.45, 2.50, 0.40) Cabin 7.547425
(331.88, 7.43, 367.35) (330.38, 1.25, 346.82) (1.45, 2.50, 0.40) Cabin 7.520059
(331.88, 7.43, 367.35) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 7.494346
(331.88, 7.43, 367.35) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 7.47026
(331.88, 7.43, 367.35) (330.38, 1.25, 346.82) (1.45, 2.50, 0.40) Cabin 7.447774
(331.88, 7.43, 367.35) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 7.426868
(331.88, 7.43, 367.35) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 7.407518
(331.88, 7.43, 367.35) (330.38, 1.25, 346.82) (1.45, 2.50, 0.40) Cabin 7.389706
(331.88, 7.43, 367.35) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 7.373415
(331.88, 7.43, 367.35) (330.38, 1.25, 346.82) (1.45, 2.50, 0.40) Cabin 7.358625
(331.88, 7.43, 367.35) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 7.345325
(331.88, 7.43, 367.35) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 7.333498
(331.88, 7.43, 367.35) (330.38, 1.25, 346.82) (1.45, 2.50, 0.40) Cabin 7.323136
(331.88, 7.43, 367.35) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 7.314227
(331.88, 7.43, 367.35) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 7.306762
(331.88, 7.43, 367.35) (330.38, 1.25, 346.82) (1.45, 2.50, 0.40) Cabin 7.300733
(331.88, 7.43, 367.35) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 7.296137
(331.88, 7.43, 367.35) (330.38, 1.25, 346.82) (1.45, 2.50, 0.40) Cabin 7.292967
(331.88, 7.43, 367.35) (330.38, 1.25, 346.82) (1.45, 2.50, 0.40) Cabin 7.29122
(331.88, 7.43, 367.35) (330.38, 1.25, 346.82) (1.45, 2.50, 0.40) Cabin 7.290895
(331.88, 7.43, 367.35) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 7.234268
(331.88, 7.43, 367.35) (317.63, 1.73, 338.04) (2.61, 2.77, 8.24) Truck 21.30838
(331.88, 7.43, 367.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.323609
(331.88, 7.43, 367.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.574392
(331.88, 7.43, 367.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.851993
(331.88, 7.43, 367.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.155457
(331.88, 7.43, 367.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.488669
(331.88, 7.43, 367.35) (330.38, 1.25, 346.82) (1.45, 2.50, 0.40) Cabin 7.656279
(331.88, 7.43, 367.35) (330.38, 1.25, 346.82) (1.45, 2.50, 0.40) Cabin 7.626929
(331.88, 7.43, 367.35) (330.38, 1.25, 346.82) (1.45, 2.50, 0.40) Cabin 7.599278
(331.88, 7.43, 367.35) (330.38, 1.25, 346.82) (1.45, 2.50, 0.40) Cabin 7.573299
(331.88, 7.43, 367.35) (330.38, 1.25, 346.82) (1.45, 2.50, 0.40) Cabin 7.548963
(331.88, 7.43, 367.35) (330.38, 1.25, 346.82) (1.45, 2.50, 0.40) Cabin 7.526246
(331.88, 7.43, 367.35) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 7.505123
×(331.88, 7.43, 367.35) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 7.485574
(331.88, 7.43, 367.35) (330.38, 1.25, 346.82) (1.45, 2.50, 0.40) Cabin 7.467579
(331.88, 7.43, 367.35) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 7.451118
(331.88, 7.43, 367.35) (330.38, 1.25, 346.82) (1.45, 2.50, 0.40) Cabin 7.436178
(331.88, 7.43, 367.35) (330.38, 1.25, 346.82) (1.45, 2.50, 0.40) Cabin 7.422741
(331.88, 7.43, 367.35) (330.38, 1.25, 346.82) (1.45, 2.50, 0.40) Cabin 7.410794
(331.88, 7.43, 367.35) (330.38, 1.25, 346.82) (1.45, 2.50, 0.40) Cabin 7.400327
(331.88, 7.43, 367.35) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 7.391328
(331.88, 7.43, 367.35) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 7.38379
(331.88, 7.43, 367.35) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 7.377702
(331.88, 7.43, 367.35) (330.38, 1.25, 346.82) (1.45, 2.50, 0.40) Cabin 7.373061
(331.88, 7.43, 367.35) (330.38, 1.25, 346.82) (1.45, 2.50, 0.40) Cabin 7.369861
(331.88, 7.43, 367.35) (330.38, 1.25, 346.82) (1.45, 2.50, 0.40) Cabin 7.368101
(331.88, 7.43, 367.35) (330.38, 1.25, 346.82) (1.45, 2.50, 0.40) Cabin 7.367776
(331.88, 7.43, 367.35) (330.07, 2.56, 345.68) (2.10, 0.13, 2.78) Cabin 7.310556
(331.88, 7.43, 367.35) (317.63, 1.73, 338.04) (2.61, 2.77, 8.24) Truck 21.07874
(331.88, 7.43, 367.35) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.324946
