¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
Å(379.45, 15.00, 271.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.873703
(379.47, 15.22, 273.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.745341
(379.47, 15.22, 273.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.66437
(379.47, 15.22, 273.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.184099
(379.47, 15.22, 273.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.268394
(379.47, 15.22, 273.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.35614
(379.47, 15.22, 273.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.458677
(379.47, 15.22, 273.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.566821
(379.47, 15.22, 273.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.679615
(379.47, 15.22, 273.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.797425
(379.47, 15.22, 273.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.920401
(379.47, 15.22, 273.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.114861
(379.47, 15.22, 273.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.331348
(379.47, 15.22, 273.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.561359
(379.47, 15.22, 273.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.806229
(379.47, 15.22, 273.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.376186
(379.47, 15.22, 273.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.832021
(379.47, 15.22, 273.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.8384
(379.47, 15.22, 273.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.181357
(379.47, 15.22, 273.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.265546
(379.47, 15.22, 273.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.353211
(379.47, 15.22, 273.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.447607
(379.47, 15.22, 273.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.555374
(379.47, 15.22, 273.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.667803
(379.47, 15.22, 273.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.785167
(379.47, 15.22, 273.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.907741
(379.47, 15.22, 273.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.102734
(379.47, 15.22, 273.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.318481
(379.47, 15.22, 273.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.547751
(379.47, 15.22, 273.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.07992
(379.47, 15.22, 273.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.467092
(379.47, 15.22, 273.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.92017
(379.47, 15.22, 273.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.0168
(379.47, 15.22, 273.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.179457
(379.47, 15.22, 273.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.263612
(379.47, 15.22, 273.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.351211
(379.47, 15.22, 273.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.442407
(379.47, 15.22, 273.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.544904
(379.47, 15.22, 273.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.656953
(379.47, 15.22, 273.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.77393
(379.47, 15.22, 273.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.896101
(379.47, 15.22, 273.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.091397
(379.47, 15.22, 273.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.306521
(379.47, 15.22, 273.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.571256
(379.47, 15.22, 273.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.280516
(379.47, 15.22, 273.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.560825
(379.47, 15.22, 273.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.0098
(379.47, 15.22, 273.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.1998
(379.47, 15.22, 273.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.178421
º(379.47, 15.22, 273.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.262554
(379.47, 15.22, 273.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.350119
(379.47, 15.22, 273.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.441288
(379.47, 15.22, 273.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.536202
(379.47, 15.22, 273.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.647076
(379.47, 15.22, 273.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.763735
(379.47, 15.22, 273.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.885557
(379.47, 15.22, 273.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.080948
(379.47, 15.22, 273.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.295453
(379.47, 15.22, 273.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.834269
(379.47, 15.22, 273.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.371382
(379.47, 15.22, 273.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.657541
(379.47, 15.22, 273.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.10098
(379.47, 15.22, 273.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.38737
(379.47, 15.22, 273.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.17829
(379.47, 15.22, 273.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.262368
(379.47, 15.22, 273.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.349951
(379.47, 15.22, 273.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.441116
(379.47, 15.22, 273.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.536044
(379.47, 15.22, 273.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.638217
(379.47, 15.22, 273.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.75454
(379.47, 15.22, 273.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.876037
(379.47, 15.22, 273.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.071342
(379.47, 15.22, 273.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.350454
(379.47, 15.22, 273.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.113251
(379.47, 15.22, 273.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.465078
(379.47, 15.22, 273.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.757345
(379.47, 15.22, 273.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.19365
(379.47, 15.22, 273.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.178963
(379.47, 15.22, 273.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.263104
(379.47, 15.22, 273.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.350681
(379.47, 15.22, 273.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.441864
(379.47, 15.22, 273.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.536825
(379.47, 15.22, 273.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.635738
(379.47, 15.22, 273.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.746356
(379.47, 15.22, 273.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.867575
(379.47, 15.22, 273.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.062573
(379.47, 15.22, 273.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.597986
(379.47, 15.22, 273.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.282372
(379.47, 15.22, 273.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.561705
(379.47, 15.22, 273.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.860336
(379.47, 15.22, 273.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.28788
(379.47, 15.22, 273.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.18054
(379.47, 15.22, 273.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.264739
(379.47, 15.22, 273.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.352355
(379.47, 15.22, 273.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.443618
(379.47, 15.22, 273.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.538614
(379.47, 15.22, 273.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.637579
(379.47, 15.22, 273.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.740708
(379.47, 15.22, 273.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.860145
(379.47, 15.22, 273.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.137266
µ(379.47, 15.22, 273.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.859879
(379.47, 15.22, 273.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.376017
(379.47, 15.22, 273.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.66139
(379.47, 15.22, 273.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.966668
(379.47, 15.22, 273.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.38371
(379.47, 15.22, 273.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.182971
(379.47, 15.22, 273.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.267235
(379.47, 15.22, 273.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.354914
(379.47, 15.22, 273.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.446213
(379.47, 15.22, 273.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.541324
(379.47, 15.22, 273.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.640405
(379.47, 15.22, 273.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.743629
(379.47, 15.22, 273.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.85374
(379.47, 15.22, 273.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.370014
(379.47, 15.22, 273.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.137411
(379.47, 15.22, 273.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.472557
(379.47, 15.22, 273.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.764211
(379.47, 15.22, 273.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.07642
(379.47, 15.22, 273.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.4812
(379.47, 15.22, 273.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.186311
(379.47, 15.22, 273.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.270635
(379.47, 15.22, 273.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.358431
(379.47, 15.22, 273.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.44983
(379.47, 15.22, 273.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.545041
(379.47, 15.22, 273.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.644238
(379.47, 15.22, 273.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.747598
(379.47, 15.22, 273.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.930885
(379.47, 15.22, 273.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.615759
(379.47, 15.22, 273.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.2931
(379.47, 15.22, 273.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.572086
(379.47, 15.22, 273.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.870309
(379.47, 15.22, 273.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.18974
(379.47, 15.22, 273.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.19047
(379.47, 15.22, 273.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.274956
(379.47, 15.22, 273.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.362873
(379.47, 15.22, 273.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.45437
(379.47, 15.22, 273.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.549742
(379.47, 15.22, 273.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.649059
(379.47, 15.22, 273.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.782223
(379.47, 15.22, 273.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.149763
(379.47, 15.22, 273.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.875553
(379.47, 15.22, 273.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.389519
(379.47, 15.22, 273.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.674726
(379.47, 15.22, 273.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.979743
(379.47, 15.22, 273.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.30676
(379.47, 15.22, 273.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.195497
(379.47, 15.22, 273.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.280122
(379.47, 15.22, 273.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.368202
(379.47, 15.22, 273.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.459901
(379.47, 15.22, 273.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.555434
(379.47, 15.22, 273.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.675086
Ë(379.47, 15.22, 273.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.864641
(379.47, 15.22, 273.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.380136
(379.47, 15.22, 273.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.150529
(379.47, 15.22, 273.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.488837
(379.47, 15.22, 273.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.780556
(379.47, 15.22, 273.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.09274
(379.47, 15.22, 273.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.5309
(379.47, 15.22, 273.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.201451
(379.47, 15.22, 273.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.286217
(379.47, 15.22, 273.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.374499
(379.47, 15.22, 273.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.466361
(379.47, 15.22, 273.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.572427
(379.47, 15.22, 273.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.755672
(379.47, 15.22, 273.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.024251
(379.47, 15.22, 273.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.623125
(379.47, 15.22, 273.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.312056
(379.47, 15.22, 273.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.591261
(379.47, 15.22, 273.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.889721
(379.47, 15.22, 273.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.25494
(379.47, 15.22, 273.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.56087
(379.47, 15.22, 273.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.208236
(379.47, 15.22, 273.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.293203
(379.47, 15.22, 273.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.381668
(379.47, 15.22, 273.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.473774
(379.47, 15.22, 273.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.651192
(379.47, 15.22, 273.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.838676
(379.47, 15.22, 273.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.217072
(379.47, 15.22, 273.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.87958
(379.47, 15.22, 273.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.411192
(379.47, 15.22, 273.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.696812
(379.47, 15.22, 273.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.00233
(379.47, 15.22, 273.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.50853
(379.47, 15.22, 273.18) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 13.85961
(379.47, 15.22, 273.18) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 13.75049
(379.47, 15.22, 273.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.215916
(379.47, 15.22, 273.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.301126
(379.47, 15.22, 273.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.389812
(379.47, 15.22, 273.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.550927
(379.47, 15.22, 273.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.732296
(379.47, 15.22, 273.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.929083
(379.47, 15.22, 273.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.419068
(379.47, 15.22, 273.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.150663
(379.47, 15.22, 273.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.513372
(379.47, 15.22, 273.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.805679
(379.47, 15.22, 273.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.31676
(379.47, 15.22, 273.18) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 13.72417
(379.47, 15.22, 273.18) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 13.68122
(379.47, 15.22, 273.18) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 13.65707
(379.47, 15.22, 273.18) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 13.74094
(379.47, 15.22, 273.18) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 13.68323
(379.47, 15.22, 273.18) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 13.67073
ï(379.47, 15.22, 273.18) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 13.65951
(379.47, 15.22, 273.18) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 13.66795
(379.47, 15.22, 273.18) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 13.90545
(379.47, 15.22, 273.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.2245
(379.47, 15.22, 273.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.309931
(379.47, 15.22, 273.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.45463
(379.47, 15.22, 273.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.630207
(379.47, 15.22, 273.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.81582
(379.47, 15.22, 273.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.116017
(379.47, 15.22, 273.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.631019
(379.47, 15.22, 273.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.338653
(379.47, 15.22, 273.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.618631
(379.47, 15.22, 273.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.01413
(379.47, 15.22, 273.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.73111
(379.47, 15.22, 273.18) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 13.68256
(379.47, 15.22, 273.18) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 13.88291
(379.47, 15.22, 273.18) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 13.65173
(379.47, 15.22, 273.18) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 14.11475
(379.47, 15.22, 273.18) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 13.65609
(379.47, 15.22, 273.18) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 13.64336
(379.47, 15.22, 273.18) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 13.6333
(379.47, 15.22, 273.18) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 13.62591
(379.47, 15.22, 273.18) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 13.28646
(379.47, 15.22, 273.18) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 13.63073
(379.47, 15.22, 273.18) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 13.64527
(379.47, 15.22, 273.18) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 13.88445
(379.47, 15.22, 273.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.233947
(379.47, 15.22, 273.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.36204
(379.47, 15.22, 273.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.532163
(379.47, 15.22, 273.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.711828
(379.47, 15.22, 273.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.901831
(379.47, 15.22, 273.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.311653
(379.47, 15.22, 273.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.870293
(379.47, 15.22, 273.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.440531
(379.47, 15.22, 273.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.728437
(379.47, 15.22, 273.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.37679
(379.47, 15.22, 273.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.84932
(379.47, 15.22, 273.18) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 13.64625
(379.47, 15.22, 273.18) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 13.85202
(379.47, 15.22, 273.18) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 13.64959
(379.47, 15.22, 273.18) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 14.09654
(379.47, 15.22, 273.18) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 13.63501
(379.47, 15.22, 273.18) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 13.62227
(379.47, 15.22, 273.18) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 13.61219
(379.47, 15.22, 273.18) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 13.60635
(379.47, 15.22, 273.18) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 13.30271
(379.47, 15.22, 273.18) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 13.25945
(379.47, 15.22, 273.18) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 13.25235
(379.47, 15.22, 273.18) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 13.24784
(379.47, 15.22, 273.18) (371.78, 9.22, 302.85) (8.10, 3.07, 6.91) Truck 13.62622
(379.47, 15.22, 273.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.272964
