¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
Å(327.06, 7.07, 327.96) (345.27, 2.06, 309.64) (0.81, 2.16, 0.81) Human 10.0338
(327.29, 7.14, 327.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.244931
(327.29, 7.14, 327.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.447051
(327.29, 7.14, 327.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.662283
(327.29, 7.14, 327.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.891976
(327.29, 7.14, 327.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.33808
(327.29, 7.14, 327.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.894602
(327.29, 7.14, 327.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.333045
(327.29, 7.14, 327.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.7926
„(327.29, 7.14, 327.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.15944
(327.29, 7.14, 327.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.49929
(327.29, 7.14, 327.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.9085
(327.29, 7.14, 327.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.65467
(327.29, 7.14, 327.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.71799
(327.29, 7.14, 327.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.361242
(327.29, 7.14, 327.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.480402
(327.29, 7.14, 327.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.582434
(327.29, 7.14, 327.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.68948
(327.29, 7.14, 327.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.801838
(327.29, 7.14, 327.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.919903
(327.29, 7.14, 327.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.04409
(327.29, 7.14, 327.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.174824
(327.29, 7.14, 327.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.312603
(327.29, 7.14, 327.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.457991
(327.29, 7.14, 327.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.584208
(327.29, 7.14, 327.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.713019
(327.29, 7.14, 327.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.85289
(327.29, 7.14, 327.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.005555
(327.29, 7.14, 327.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.192863
(327.29, 7.14, 327.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.39195
(327.29, 7.14, 327.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.603893
(327.29, 7.14, 327.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.829915
(327.29, 7.14, 327.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.165012
(327.29, 7.14, 327.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.738688
(327.29, 7.14, 327.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.161346
(327.29, 7.14, 327.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.75166
(327.29, 7.14, 327.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.11761
(327.29, 7.14, 327.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.50342
(327.29, 7.14, 327.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.88602
(327.29, 7.14, 327.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.68669
(327.29, 7.14, 327.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.74788
(327.29, 7.14, 327.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.354003
(327.29, 7.14, 327.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.478226
(327.29, 7.14, 327.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.580153
(327.29, 7.14, 327.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.687096
(327.29, 7.14, 327.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.799359
(327.29, 7.14, 327.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.917313
(327.29, 7.14, 327.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.041397
(327.29, 7.14, 327.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.171998
(327.29, 7.14, 327.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.309627
(327.29, 7.14, 327.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.449695
(327.29, 7.14, 327.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.570273
(327.29, 7.14, 327.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.697149
(327.29, 7.14, 327.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.836294
(327.29, 7.14, 327.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.98274
(327.29, 7.14, 327.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.142519
(327.29, 7.14, 327.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.338654
(327.29, 7.14, 327.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.547441
(327.29, 7.14, 327.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.769961
(327.29, 7.14, 327.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.007597
ˆ(327.29, 7.14, 327.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.575733
(327.29, 7.14, 327.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.997155
(327.29, 7.14, 327.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.71387
(327.29, 7.14, 327.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.07812
(327.29, 7.14, 327.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.46212
(327.29, 7.14, 327.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.86803
(327.29, 7.14, 327.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.72243
(327.29, 7.14, 327.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.78196
(327.29, 7.14, 327.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.347112
(327.29, 7.14, 327.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.476546
(327.29, 7.14, 327.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.578399
(327.29, 7.14, 327.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.685268
(327.29, 7.14, 327.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.797452
(327.29, 7.14, 327.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.915321
(327.29, 7.14, 327.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.039321
(327.29, 7.14, 327.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.169816
(327.29, 7.14, 327.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.307364
(327.29, 7.14, 327.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.437251
(327.29, 7.14, 327.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.557318
(327.29, 7.14, 327.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.683246
(327.29, 7.14, 327.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.820688
(327.29, 7.14, 327.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.966429
(327.29, 7.14, 327.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.119938
(327.29, 7.14, 327.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.287154
(327.29, 7.14, 327.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.492837
(327.29, 7.14, 327.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.712014
(327.29, 7.14, 327.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.945987
(327.29, 7.14, 327.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.3943
(327.29, 7.14, 327.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.840021
(327.29, 7.14, 327.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.274306
(327.29, 7.14, 327.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.04193
(327.29, 7.14, 327.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.42423
(327.29, 7.14, 327.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.87421
(327.29, 7.14, 327.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.76199
(327.29, 7.14, 327.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.82029
(327.29, 7.14, 327.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.340596
(327.29, 7.14, 327.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.473125
(327.29, 7.14, 327.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.577218
(327.29, 7.14, 327.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.684031
(327.29, 7.14, 327.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.796169
(327.29, 7.14, 327.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.913986
(327.29, 7.14, 327.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.037887
(327.29, 7.14, 327.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.168342
(327.29, 7.14, 327.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.305808
(327.29, 7.14, 327.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.425645
(327.29, 7.14, 327.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.545258
(327.29, 7.14, 327.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.670682
(327.29, 7.14, 327.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.806089
(327.29, 7.14, 327.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.951169
(327.29, 7.14, 327.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.103929
(327.29, 7.14, 327.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.265081
†(327.29, 7.14, 327.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.440087
(327.29, 7.14, 327.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.656066
(327.29, 7.14, 327.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.886548
(327.29, 7.14, 327.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.221254
(327.29, 7.14, 327.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.689561
(327.29, 7.14, 327.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.108717
(327.29, 7.14, 327.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.00898
(327.29, 7.14, 327.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.38977
(327.29, 7.14, 327.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.88375
(327.29, 7.14, 327.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.80541
(327.29, 7.14, 327.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.334437
(327.29, 7.14, 327.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.466629
(327.29, 7.14, 327.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.576578
(327.29, 7.14, 327.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.68336
(327.29, 7.14, 327.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.795449
(327.29, 7.14, 327.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.91324
(327.29, 7.14, 327.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.037135
(327.29, 7.14, 327.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.167523
(327.29, 7.14, 327.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.30126
(327.29, 7.14, 327.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.414979
(327.29, 7.14, 327.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.53413
(327.29, 7.14, 327.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.659079
(327.29, 7.14, 327.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.792462
(327.29, 7.14, 327.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.936912
(327.29, 7.14, 327.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.089046
(327.29, 7.14, 327.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.249458
(327.29, 7.14, 327.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.418758
(327.29, 7.14, 327.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.602036
(327.29, 7.14, 327.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.829124
(327.29, 7.14, 327.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.071813
(327.29, 7.14, 327.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.545391
(327.29, 7.14, 327.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.950241
(327.29, 7.14, 327.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.397366
(327.29, 7.14, 327.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.35862
(327.29, 7.14, 327.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.89665
(327.29, 7.14, 327.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.79986
(327.29, 7.14, 327.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.328616
(327.29, 7.14, 327.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.460518
(327.29, 7.14, 327.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.576476
(327.29, 7.14, 327.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.683241
(327.29, 7.14, 327.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.795333
(327.29, 7.14, 327.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.913107
(327.29, 7.14, 327.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.036997
(327.29, 7.14, 327.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.167402
(327.29, 7.14, 327.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.291815
(327.29, 7.14, 327.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.405107
(327.29, 7.14, 327.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.523869
(327.29, 7.14, 327.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.648434
(327.29, 7.14, 327.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.779845
(327.29, 7.14, 327.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.923698
(327.29, 7.14, 327.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.075227
†(327.29, 7.14, 327.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.234947
(327.29, 7.14, 327.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.403545
(327.29, 7.14, 327.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.581725
(327.29, 7.14, 327.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.773725
(327.29, 7.14, 327.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.012865
(327.29, 7.14, 327.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.407163
(327.29, 7.14, 327.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.798604
(327.29, 7.14, 327.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.230211
(327.29, 7.14, 327.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.35056
(327.29, 7.14, 327.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.913
(327.29, 7.14, 327.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.78186
(327.29, 7.14, 327.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.32317
(327.29, 7.14, 327.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.454731
(327.29, 7.14, 327.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.576917
(327.29, 7.14, 327.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.683723
(327.29, 7.14, 327.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.795802
(327.29, 7.14, 327.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.913629
(327.29, 7.14, 327.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.037525
(327.29, 7.14, 327.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.167918
(327.29, 7.14, 327.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.283216
(327.29, 7.14, 327.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.396157
(327.29, 7.14, 327.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.514568
(327.29, 7.14, 327.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.638724
(327.29, 7.14, 327.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.769069
(327.29, 7.14, 327.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.911533
(327.29, 7.14, 327.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.062475
(327.29, 7.14, 327.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.221602
(327.29, 7.14, 327.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.389575
(327.29, 7.14, 327.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.567014
(327.29, 7.14, 327.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.75474
(327.29, 7.14, 327.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.956016
(327.29, 7.14, 327.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.274537
(327.29, 7.14, 327.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.653359
(327.29, 7.14, 327.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.070358
(327.29, 7.14, 327.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.531535
(327.29, 7.14, 327.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.93276
(327.29, 7.14, 327.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.76755
(327.29, 7.14, 327.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.318059
(327.29, 7.14, 327.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.449345
(327.29, 7.14, 327.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.577882
(327.29, 7.14, 327.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.684729
(327.29, 7.14, 327.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.796885
(327.29, 7.14, 327.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.914721
(327.29, 7.14, 327.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.038664
(327.29, 7.14, 327.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.167844
(327.29, 7.14, 327.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.275401
(327.29, 7.14, 327.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.388059
(327.29, 7.14, 327.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.506089
(327.29, 7.14, 327.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.629957
(327.29, 7.14, 327.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.759888
(327.29, 7.14, 327.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.900353
†(327.29, 7.14, 327.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.050807
(327.29, 7.14, 327.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.209361
(327.29, 7.14, 327.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.376702
(327.29, 7.14, 327.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.553517
(327.29, 7.14, 327.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.740562
(327.29, 7.14, 327.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.938643
(327.29, 7.14, 327.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.149848
(327.29, 7.14, 327.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.514135
(327.29, 7.14, 327.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.917455
(327.29, 7.14, 327.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.362721
(327.29, 7.14, 327.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.95592
(327.29, 7.14, 327.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.75692
(327.29, 7.14, 327.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.65005
(327.29, 7.14, 327.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.313316
(327.29, 7.14, 327.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.444344
(327.29, 7.14, 327.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.57939
(327.29, 7.14, 327.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.686337
(327.29, 7.14, 327.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.798542
(327.29, 7.14, 327.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.916467
(327.29, 7.14, 327.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.040483
(327.29, 7.14, 327.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.161137
(327.29, 7.14, 327.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.268409
(327.29, 7.14, 327.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.380806
(327.29, 7.14, 327.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.498548
(327.29, 7.14, 327.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.622071
(327.29, 7.14, 327.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.751683
(327.29, 7.14, 327.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.89018
(327.29, 7.14, 327.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.040164
(327.29, 7.14, 327.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.198216
(327.29, 7.14, 327.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.365001
(327.29, 7.14, 327.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.541255
(327.29, 7.14, 327.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.727628
(327.29, 7.14, 327.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.925076
(327.29, 7.14, 327.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.13348
(327.29, 7.14, 327.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.380668
(327.29, 7.14, 327.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.771021
(327.29, 7.14, 327.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.201373
(327.29, 7.14, 327.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.98258
(327.29, 7.14, 327.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.74995
(327.29, 7.14, 327.73) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.59538
